date	average_transaction_value
2024-04-02	4.273834
2024-04-01	108.651744
2024-03-31	86.880717
2024-03-30	44.091222
2024-03-29	43.633482
2024-03-28	15.867571
2024-03-27	12.915978
2024-03-26	8.560405
2024-03-25	12.317947
2024-03-24	32.245541
2024-03-23	43.114979
2024-03-22	31.952559
2024-03-21	28.276789
2024-03-20	9.384319
2024-03-19	19.148832
2024-03-18	68.519381
2024-03-17	33.049648
2024-03-16	52.62788
2024-03-15	63.18631
2024-03-14	40.915694
2024-03-13	18.03586
2024-03-12	69.407779
2024-03-11	86.057321
2024-03-10	73.548441
2024-03-09	77.904211
2024-03-08	10.207969
2024-03-07	34.005754
2024-03-06	115.952044
2024-03-05	177.567524
2024-03-04	103.995987
2024-03-03	122.029246
2024-03-02	118.757791
2024-03-01	79.015491
2024-02-29	74.33534
2024-02-28	3.471523
2024-02-27	112.053469
2024-02-26	78.210676
2024-02-25	46.713234
2024-02-24	57.732899
2024-02-23	65.305549
2024-02-22	41.687613
2024-02-21	7.377654
2024-02-20	5.534046
2024-02-19	6.213369
2024-02-18	10.541766
2024-02-17	61.399444
2024-02-16	24.557129
2024-02-15	99.080047
2024-02-14	18.457664
2024-02-13	6.176984
2024-02-12	41.831455
2024-02-11	32.238606
2024-02-10	43.928006
2024-02-09	4.030864
2024-02-08	8.40937
2024-02-07	39.668575
2024-02-06	29.191786
2024-02-05	31.026261
2024-02-04	7.924956
2024-02-03	32.976252
2024-02-02	9.16293
2024-02-01	47.645492
2024-01-31	4.852759
2024-01-30	3.318108
2024-01-29	6.397614
2024-01-28	26.583561
2024-01-27	30.020943
2024-01-26	19.549594
2024-01-25	13.582525
2024-01-24	5.39373
2024-01-23	17.380202
2024-01-22	32.371773
2024-01-21	17.749878
2024-01-20	31.386067
2024-01-19	39.918922
2024-01-18	61.278819
2024-01-17	101.965711
2024-01-16	29.90863
2024-01-15	39.47426
2024-01-14	44.429087
2024-01-13	35.128102
2024-01-12	73.765579
2024-01-11	28.166776
2024-01-10	2.41287
2024-01-09	38.612361
2024-01-08	24.849515
2024-01-07	37.599222
2024-01-06	50.722376
2024-01-05	7.78234
2024-01-04	10.227205
2024-01-03	10.494947
2024-01-02	57.09441
2024-01-01	113.483131
2023-12-31	65.81115
2023-12-30	213.677413
2023-12-29	75.755434
2023-12-28	115.342683
2023-12-27	96.30461
2023-12-26	42.157639
2023-12-25	29.28097
2023-12-24	28.78383
2023-12-23	35.32825
2023-12-22	17.51913
2023-12-21	30.806148
2023-12-20	37.24714
2023-12-19	47.553058
2023-12-18	5.704029
2023-12-17	28.640602
2023-12-16	32.342662
2023-12-15	10.716299
2023-12-14	8.001226
2023-12-13	5.070744
2023-12-12	5.378245
2023-12-11	8.571641
2023-12-10	17.431561
2023-12-09	61.149137
2023-12-08	4.998695
2023-12-07	7.439111
2023-12-06	17.934469
2023-12-05	16.39463
2023-12-04	11.899139
2023-12-03	18.353355
2023-12-02	53.042452
2023-12-01	5.942705
2023-11-30	8.41626
2023-11-29	6.779175
2023-11-28	106.996937
2023-11-27	66.565786
2023-11-26	62.234917
2023-11-25	29.821824
2023-11-24	38.468887
2023-11-23	49.583104
2023-11-22	78.31383
2023-11-21	81.539936
2023-11-20	55.982405
2023-11-19	52.500385
2023-11-18	63.108212
2023-11-17	8.576182
2023-11-16	68.378874
2023-11-15	54.570271
2023-11-14	4.330188
2023-11-13	27.593479
2023-11-12	11.438441
2023-11-11	18.330211
2023-11-10	8.258735
2023-11-09	10.803607
2023-11-08	25.974753
2023-11-07	15.386681
2023-11-06	92.686585
2023-11-05	140.989429
2023-11-04	69.220628
2023-11-03	96.881747
2023-11-02	21.213036
2023-11-01	7.40494
2023-10-31	115.098099
2023-10-30	114.23977
2023-10-29	88.982092
2023-10-28	99.713017
2023-10-27	17.01325
2023-10-26	4.493717
2023-10-25	7.000476
2023-10-24	15.275237
2023-10-23	9.453381
2023-10-22	73.445102
2023-10-21	45.362342
2023-10-20	106.562856
2023-10-19	5.701303
2023-10-18	70.482493
2023-10-17	55.96213
2023-10-16	95.764771
2023-10-15	49.420419
2023-10-14	47.432908
2023-10-13	3.531464
2023-10-12	3.854654
2023-10-11	2.681869
2023-10-10	19.428976
2023-10-09	3.645736
2023-10-08	51.018094
2023-10-07	60.927004
2023-10-06	8.573173
2023-10-05	33.87188
2023-10-04	2.352727
2023-10-03	6.386684
2023-10-02	75.607832
2023-10-01	43.735362
2023-09-30	4.900538
2023-09-29	7.250932
2023-09-28	6.892477
2023-09-27	11.226109
2023-09-26	10.522387
2023-09-25	49.168417
2023-09-24	49.432699
2023-09-23	31.661313
2023-09-22	27.198111
2023-09-21	42.845224
2023-09-20	8.126688
2023-09-19	10.748636
2023-09-18	5.732836
2023-09-17	46.673845
2023-09-16	54.889888
2023-09-15	7.779906
2023-09-14	5.383208
2023-09-13	6.263008
2023-09-12	4.811117
2023-09-11	8.566723
2023-09-10	41.147642
2023-09-09	5.030297
2023-09-08	6.005962
2023-09-07	7.035789
2023-09-06	12.661105
2023-09-05	38.318045
2023-09-04	37.150037
2023-09-03	34.374506
2023-09-02	48.252716
2023-09-01	19.487833
2023-08-31	35.953548
2023-08-30	25.005726
2023-08-29	37.049091
2023-08-28	50.132499
2023-08-27	26.182789
2023-08-26	24.721991
2023-08-25	45.459229
2023-08-24	31.654982
2023-08-23	43.659521
2023-08-22	35.377958
2023-08-21	37.983045
2023-08-20	19.707902
2023-08-19	25.189458
2023-08-18	11.441048
2023-08-17	10.827972
2023-08-16	8.615447
2023-08-15	3.836838
2023-08-14	12.487266
2023-08-13	10.436232
2023-08-12	23.407455
2023-08-11	3.135511
2023-08-10	8.683607
2023-08-09	3.857154
2023-08-08	19.191807
2023-08-07	52.55117
2023-08-06	22.394902
2023-08-05	34.11087
2023-08-04	14.967979
2023-08-03	12.124527
2023-08-02	11.743567
2023-08-01	32.562051
2023-07-31	15.419509
2023-07-30	48.798699
2023-07-29	13.011504
2023-07-28	20.759803
2023-07-27	9.374022
2023-07-26	31.540544
2023-07-25	19.446263
2023-07-24	11.089496
2023-07-23	58.07039
2023-07-22	63.261468
2023-07-21	8.935741
2023-07-20	19.696289
2023-07-19	121.390055
2023-07-18	102.038089
2023-07-17	152.185797
2023-07-16	85.92112
2023-07-15	97.104454
2023-07-14	135.338823
2023-07-13	150.899398
2023-07-12	87.245453
2023-07-11	84.97242
2023-07-10	102.872549
2023-07-09	56.614168
2023-07-08	70.539996
2023-07-07	116.585652
2023-07-06	83.674992
2023-07-05	52.339259
2023-07-04	43.181851
2023-07-03	82.765831
2023-07-02	117.279891
2023-07-01	85.720564
2023-06-30	91.691247
2023-06-29	75.75718
2023-06-28	71.459086
2023-06-27	171.442556
2023-06-26	78.302195
2023-06-25	140.13671
2023-06-24	83.142627
2023-06-23	12.943999
2023-06-22	114.897259
2023-06-21	133.145215
2023-06-20	16.355869
2023-06-19	43.805886
2023-06-18	15.848174
2023-06-17	9.517524
2023-06-16	8.830844
2023-06-15	4.264997
2023-06-14	9.234539
2023-06-13	27.907915
2023-06-12	30.32369
2023-06-11	15.723949
2023-06-10	112.68887
2023-06-09	8.17552
2023-06-08	6.34103
2023-06-07	49.553629
2023-06-06	27.555986
2023-06-05	26.410751
2023-06-04	19.097174
2023-06-03	29.30564
2023-06-02	1.917396
2023-06-01	5.103471
2023-05-31	21.526171
2023-05-30	6.159291
2023-05-29	32.16127
2023-05-28	35.04226
2023-05-27	39.843728
2023-05-26	27.163108
2023-05-25	23.776844
2023-05-24	4.708368
2023-05-23	9.553073
2023-05-22	7.86643
2023-05-21	19.545713
2023-05-20	25.564063
2023-05-19	27.193075
2023-05-18	46.23022
2023-05-17	49.89281
2023-05-16	4.236748
2023-05-15	23.179228
2023-05-14	28.043383
2023-05-13	65.570836
2023-05-12	7.161794
2023-05-11	18.634932
2023-05-10	75.250706
2023-05-09	85.325603
2023-05-08	54.088184
2023-05-07	46.356801
2023-05-06	46.366621
2023-05-05	5.023834
2023-05-04	42.818087
2023-05-03	49.209734
2023-05-02	72.251686
2023-05-01	56.439145
2023-04-30	62.374894
2023-04-29	68.517491
2023-04-28	90.899716
2023-04-27	113.761084
2023-04-26	78.0937
2023-04-25	50.1056
2023-04-24	59.476835
2023-04-23	66.81345
2023-04-22	55.412831
2023-04-21	83.378094
2023-04-20	82.938011
2023-04-19	98.520036
2023-04-18	88.356222
2023-04-17	66.044576
2023-04-16	50.341735
2023-04-15	51.917033
2023-04-14	86.548219
2023-04-13	73.343346
2023-04-12	83.853147
