date	average_transaction_value
2024-04-03	15.402222
2024-04-02	16.670258
2024-04-01	25.86282
2024-03-31	17.766045
2024-03-30	13.204402
2024-03-29	17.403729
2024-03-28	17.561572
2024-03-27	19.632428
2024-03-26	19.064199
2024-03-25	19.848665
2024-03-24	14.335573
2024-03-23	13.055515
2024-03-22	11.069468
2024-03-21	14.63559
2024-03-20	20.661541
2024-03-19	20.003598
2024-03-18	15.997312
2024-03-17	19.213558
2024-03-16	20.766422
2024-03-15	24.134947
2024-03-14	21.860295
2024-03-13	24.730129
2024-03-12	22.797224
2024-03-11	18.024356
2024-03-10	27.675182
2024-03-09	14.568985
2024-03-08	18.112591
2024-03-07	22.612393
2024-03-06	24.432665
2024-03-05	29.396593
2024-03-04	23.953439
2024-03-03	15.560464
2024-03-02	19.196154
2024-03-01	17.941947
2024-02-29	22.87649
2024-02-28	25.188155
2024-02-27	24.736105
2024-02-26	23.829039
2024-02-25	16.630853
2024-02-24	21.573704
2024-02-23	20.724628
2024-02-22	20.589891
2024-02-21	26.110492
2024-02-20	18.318616
2024-02-19	20.69326
2024-02-18	15.631582
2024-02-17	20.994707
2024-02-16	26.851241
2024-02-15	21.201911
2024-02-14	19.310093
2024-02-13	16.041616
2024-02-12	24.589628
2024-02-11	13.856649
2024-02-10	12.243375
2024-02-09	11.416012
2024-02-08	15.27438
2024-02-07	17.419658
2024-02-06	13.352131
2024-02-05	13.491247
2024-02-04	12.296454
2024-02-03	13.23171
2024-02-02	14.97961
2024-02-01	16.028232
2024-01-31	23.456352
2024-01-30	14.301921
2024-01-29	12.830794
2024-01-28	17.691694
2024-01-27	17.04028
2024-01-26	20.060268
2024-01-25	15.463376
2024-01-24	16.508922
2024-01-23	21.77614
2024-01-22	20.92564
2024-01-21	28.03953
2024-01-20	20.212013
2024-01-19	23.675029
2024-01-18	28.213026
2024-01-17	23.968371
2024-01-16	22.668043
2024-01-15	26.047529
2024-01-14	16.548483
2024-01-13	20.13741
2024-01-12	30.263397
2024-01-11	42.135459
2024-01-10	29.575417
