date	average_transaction_value
2023-05-29	2258108302.770406555
2023-05-28	2493269475.479522647
2023-05-27	2198590487.95335982
2023-05-26	2667534540.849977447
2023-05-25	8544664762.717733231
2023-05-24	4151429944.634860293
2023-05-23	2159970309.99663016
2023-05-22	5612324705.355162961
2023-05-21	2060712685.28118528
2023-05-20	2123078898.786035852
2023-05-19	4279752264.031728173
2023-05-18	10632365085.695924534
2023-05-17	6629186510.526251369
2023-05-16	8466681918.448845109
2023-05-15	2694549532.785196873
2023-05-14	3349422246.987312995
2023-05-13	5493529503.692937963
2023-05-12	4581543640.73467128
2023-05-11	3566813312.296791444
2023-05-10	8506626709.208704959
2023-05-09	4149417464.031416716
2023-05-08	3978770444.379367069
2023-05-07	2921169407.544509595
2023-05-06	2597365000.805042584
2023-05-05	3811692032.730774609
2023-05-04	3022656367.080738786
2023-05-03	2827676558.253134691
2023-05-02	1490871048.097469671
2023-05-01	1789598040.242502083
2023-04-30	1437914551.698012125
2023-04-29	5133167930.582521292
2023-04-28	5011583949.618027572
2023-04-27	3980669545.070270632
2023-04-26	4468265282.039262769
2023-04-25	7488347375.297305784
2023-04-24	2249627196.487692529
2023-04-23	2252601553.152072641
2023-04-22	2333286830.467811571
2023-04-21	3762788306.253547455
2023-04-20	9443576595.800063246
2023-04-19	6839675732.443286713
2023-04-18	2235445731.064095515
2023-04-17	2905249187.592906027
2023-04-16	3961526586.927144449
2023-04-15	2268817930.859640719
2023-04-14	3993746050.824842105
2023-04-13	1716267904.044876994
2023-04-12	1955309478.638153114
2023-04-11	1610209261.899224806
2023-04-10	1641698758.471296638
2023-04-09	1379033483.551276208
2023-04-08	1355308681.569253318
2023-04-07	1777781368.36301272
2023-04-06	2715210211.909000266
2023-04-05	1935547807.461620469
2023-04-04	4851048643.301388981
2023-04-03	3452093192.258564731
2023-04-02	1859100782.0156508
2023-04-01	2046451878.339300772
2023-03-31	5575837092.181864198
2023-03-30	4253210821.850662007
2023-03-29	3767969979.738049332
2023-03-28	2824656358.848666623
2023-03-27	7509488041.197886981
2023-03-26	3829424561.490673092
2023-03-25	3564445049.321552938
2023-03-24	2811321701.37556404
