date	average_transaction_value
2024-03-05	2223623767908.375518003
2024-03-04	1681937366660.058134223
2024-03-03	1163497959542.782786261
2024-03-02	2053582410178.067277481
2024-03-01	1333609466671.03230196
2024-02-29	1977540627308.00045979
2024-02-28	1990770992984.164533296
2024-02-27	1308962999572.265591928
2024-02-26	732760261677.805408734
2024-02-25	344542511538.712397617
2024-02-24	499400251822.214610716
2024-02-23	547105538167.091132077
2024-02-22	683982603419.216146132
2024-02-21	770878787223.579793443
2024-02-20	1181829846636.443237619
2024-02-19	1078641738975.530245328
2024-02-18	843860658890.096582138
2024-02-17	774729529508.212141384
2024-02-16	1153672295321.906054522
2024-02-15	1553244671561.297461978
2024-02-14	1334964893351.512977128
2024-02-13	711561466433.41602727
2024-02-12	741637677672.554234033
2024-02-11	546303451605.545611595
2024-02-10	594337608128.044125641
2024-02-09	731789035013.337246978
2024-02-08	714765217011.901311047
2024-02-07	512630617233.936938459
2024-02-06	773721679257.014805595
2024-02-05	757005176060.656606692
2024-02-04	573262910646.049464964
2024-02-03	621672037140.108033896
2024-02-02	519773121277.373920355
2024-02-01	577486409373.10833406
2024-01-31	871904999980.418664355
2024-01-30	1302605808577.781618596
2024-01-29	987060245975.644102827
2024-01-28	715644560014.544172679
2024-01-27	1066503821407.933242176
2024-01-26	842994731894.700254426
2024-01-25	830521172830.651755254
2024-01-24	1009191677525.458253846
2024-01-23	2922588239699.476273956
2024-01-22	6491043503170.999901893
2024-01-21	3371864034045.978207676
2024-01-20	16024280416705.662183399
2024-01-19	10908114044464.010860348
2024-01-18	15166317655087.914952511
2024-01-17	11689585159116.427472608
2024-01-16	15248563526363.83763726
2024-01-15	11923681791500.617600465
2024-01-14	15187130739174.034332187
2024-01-13	12855838228681.299290468
2024-01-12	5579504283108.115750843
2024-01-11	9296281483588.869650529
2024-01-10	7979525704134.534614157
2024-01-09	7811759728290.358358547
2024-01-08	8512073398058.594651852
2024-01-07	3421334755895.667557736
2024-01-06	1044314978357.278993291
2024-01-05	912886739025.687049471
2024-01-04	1727280418860.367633464
2024-01-03	2094347704731.656539587
2024-01-02	1786025453612.544635936
2024-01-01	1780576171766.852413188
2023-12-31	2106695045231.790377613
2023-12-30	1410027065478.6393912
2023-12-29	1959468919067.331714681
2023-12-28	1781004357913.774704874
2023-12-27	1991737277580.195316952
2023-12-26	1724731466688.946829541
2023-12-25	1276300764344.015869486
2023-12-24	1018931783165.852754407
2023-12-23	924398139273.788690444
2023-12-22	1069750176090.486035655
2023-12-21	1452739920946.984306613
2023-12-20	1491358831516.307463632
2023-12-19	1123389492834.641888191
2023-12-18	1075915729122.692611854
2023-12-17	1259054254046.199775454
2023-12-16	1195535871719.267062581
2023-12-15	1348699779228.960132279
2023-12-14	1326495156308.379818491
2023-12-13	1826544812404.820925717
2023-12-12	2312515133300.012243686
2023-12-11	2142371729304.694257393
2023-12-10	1197768684430.45523164
2023-12-09	1100387076508.514859997
2023-12-08	1185416765150.675148221
2023-12-07	2475791469799.533997896
2023-12-06	5017065036236.798969129
2023-12-05	4043173074511.92975386
2023-12-04	1210727480016.340740878
2023-12-03	993448803404.199690331
2023-12-02	2046875606751.980191128
2023-12-01	2192302556032.201071268
2023-11-30	1636482868862.423817235
2023-11-29	1847425136721.350218863
2023-11-28	1399653782760.353209388
2023-11-27	1039395650657.257929145
2023-11-26	752041913705.752466269
2023-11-25	957115582734.028264353
2023-11-24	1402079458436.777909231
2023-11-23	1278971532203.425827254
2023-11-22	1924985138395.368545991
2023-11-21	4678599654739.195381395
