date	average_transaction_value
2024-04-03	1.286675
2024-04-02	1.545133
2024-04-01	1.175167
2024-03-31	0.718907
2024-03-30	0.727013
2024-03-29	0.948915
2024-03-28	1.138217
2024-03-27	1.555036
2024-03-26	1.527187
2024-03-25	1.318277
2024-03-24	0.634578
2024-03-23	0.682927
2024-03-22	1.153934
2024-03-21	1.27239
2024-03-20	1.820921
2024-03-19	1.614677
2024-03-18	1.473129
2024-03-17	1.013824
2024-03-16	0.922865
2024-03-15	1.551954
2024-03-14	1.449332
2024-03-13	1.604452
2024-03-12	1.643604
2024-03-11	1.801962
2024-03-10	0.957209
2024-03-09	0.886387
2024-03-08	1.55828
2024-03-07	1.461249
2024-03-06	1.94702
2024-03-05	1.933338
2024-03-04	1.333054
2024-03-03	0.824035
2024-03-02	0.849174
2024-03-01	1.270789
2024-02-29	1.47128
2024-02-28	1.796896
2024-02-27	1.692453
2024-02-26	1.530525
2024-02-25	1.017952
2024-02-24	0.793584
2024-02-23	1.056253
2024-02-22	1.430205
2024-02-21	1.534097
2024-02-20	1.622334
2024-02-19	1.375185
2024-02-18	0.76317
2024-02-17	0.703918
2024-02-16	1.10052
2024-02-15	1.268203
2024-02-14	1.675076
2024-02-13	1.417881
2024-02-12	1.475743
2024-02-11	0.616382
2024-02-10	0.76527
2024-02-09	1.917373
2024-02-08	1.595381
2024-02-07	1.744995
2024-02-06	1.390174
2024-02-05	1.522781
2024-02-04	0.738986
2024-02-03	0.5761
2024-02-02	1.140284
2024-02-01	1.329882
2024-01-31	1.91034
2024-01-30	1.37927
2024-01-29	1.311804
2024-01-28	0.638699
2024-01-27	0.673015
2024-01-26	1.378307
2024-01-25	2.84502
2024-01-24	1.182991
2024-01-23	2.488741
2024-01-22	1.586134
2024-01-21	0.667227
2024-01-20	0.631884
2024-01-19	1.179254
2024-01-18	1.290122
2024-01-17	1.03062
2024-01-16	0.968185
2024-01-15	1.092832
2024-01-14	0.40768
2024-01-13	0.781128
2024-01-12	1.651524
2024-01-11	1.908069
2024-01-10	1.833237
2024-01-09	1.502484
2024-01-08	1.493684
2024-01-07	0.645412
2024-01-06	0.755377
2024-01-05	1.417814
2024-01-04	1.277844
2024-01-03	1.535263
2024-01-02	1.316679
2024-01-01	0.858114
2023-12-31	0.831868
2023-12-30	0.93607
2023-12-29	1.577966
2023-12-28	1.550921
2023-12-27	1.477295
2023-12-26	1.485889
2023-12-25	0.780317
2023-12-24	0.779222
2023-12-23	0.873066
2023-12-22	1.827254
2023-12-21	1.420876
2023-12-20	1.72484
2023-12-19	1.831363
2023-12-18	1.717416
2023-12-17	1.059442
2023-12-16	0.828408
2023-12-15	1.274193
2023-12-14	0.999009
2023-12-13	1.286349
2023-12-12	1.248054
2023-12-11	1.516023
2023-12-10	0.702363
2023-12-09	0.760536
2023-12-08	1.194771
2023-12-07	1.22262
2023-12-06	1.409085
2023-12-05	1.273569
2023-12-04	1.491654
2023-12-03	0.831378
2023-12-02	0.641155
2023-12-01	1.457821
2023-11-30	1.318842
2023-11-29	1.039899
2023-11-28	1.139049
2023-11-27	1.348613
2023-11-26	0.728767
2023-11-25	0.757582
2023-11-24	1.344346
2023-11-23	1.227003
2023-11-22	1.536854
2023-11-21	1.123425
2023-11-20	1.133674
2023-11-19	0.953733
2023-11-18	0.912989
2023-11-17	1.295347
2023-11-16	1.394743
2023-11-15	1.435834
2023-11-14	1.386084
2023-11-13	1.326333
2023-11-12	1.060286
2023-11-11	0.924981
2023-11-10	2.086441
2023-11-09	1.968288
2023-11-08	1.302542
2023-11-07	1.550158
2023-11-06	1.275827
2023-11-05	0.888918
2023-11-04	0.673348
2023-11-03	1.253965
2023-11-02	1.49984
2023-11-01	1.485141
2023-10-31	1.079569
2023-10-30	1.337454
2023-10-29	0.603429
2023-10-28	0.712399
2023-10-27	1.143637
2023-10-26	1.277426
2023-10-25	1.25426
2023-10-24	1.944367
2023-10-23	1.559062
2023-10-22	0.651434
2023-10-21	0.823668
2023-10-20	1.323705
2023-10-19	0.921634
2023-10-18	1.125854
2023-10-17	1.081048
2023-10-16	1.09271
2023-10-15	0.583666
2023-10-14	0.569464
2023-10-13	0.973336
2023-10-12	0.920325
2023-10-11	1.175099
2023-10-10	1.384183
2023-10-09	1.069289
2023-10-08	0.880418
2023-10-07	0.714438
2023-10-06	1.050196
2023-10-05	1.294091
2023-10-04	1.299336
2023-10-03	1.080534
2023-10-02	1.691903
2023-10-01	0.988612
2023-09-30	0.882436
2023-09-29	1.092601
2023-09-28	1.049961
2023-09-27	0.800521
2023-09-26	0.801906
2023-09-25	0.794619
2023-09-24	0.640095
2023-09-23	0.632864
2023-09-22	0.86869
2023-09-21	0.835444
2023-09-20	1.025619
2023-09-19	1.053469
2023-09-18	0.960234
2023-09-17	0.553385
2023-09-16	0.709453
2023-09-15	0.989022
2023-09-14	0.903555
2023-09-13	0.717878
2023-09-12	3.804018
2023-09-11	1.857511
2023-09-10	0.841437
2023-09-09	0.550423
2023-09-08	0.922355
2023-09-07	0.965105
2023-09-06	0.894561
2023-09-05	0.981967
2023-09-04	1.289864
2023-09-03	0.497683
2023-09-02	0.667685
2023-09-01	1.095111
2023-08-31	1.3301
2023-08-30	0.921435
2023-08-29	1.267277
2023-08-28	0.903771
2023-08-27	0.723953
2023-08-26	0.48876
2023-08-25	0.981217
2023-08-24	0.856937
2023-08-23	1.337779
2023-08-22	1.327839
2023-08-21	1.167869
2023-08-20	0.788174
2023-08-19	0.731547
2023-08-18	1.786479
2023-08-17	1.908432
2023-08-16	1.059071
2023-08-15	0.835208
2023-08-14	0.853775
2023-08-13	0.563882
2023-08-12	0.722587
2023-08-11	0.828637
2023-08-10	0.861834
2023-08-09	0.935189
2023-08-08	0.891698
2023-08-07	0.943365
2023-08-06	0.553846
2023-08-05	0.492945
2023-08-04	0.861762
2023-08-03	0.849241
2023-08-02	1.081857
2023-08-01	1.233121
2023-07-31	1.1184
2023-07-30	0.685003
2023-07-29	0.502957
2023-07-28	0.955066
2023-07-27	0.778699
2023-07-26	1.161731
2023-07-25	1.12552
2023-07-24	1.044752
2023-07-23	0.618619
2023-07-22	0.672305
2023-07-21	1.070317
2023-07-20	1.013544
2023-07-19	1.093753
2023-07-18	1.128636
2023-07-17	1.084179
2023-07-16	0.574519
2023-07-15	0.783151
2023-07-14	1.394464
2023-07-13	1.60864
2023-07-12	1.037605
2023-07-11	0.834628
2023-07-10	0.875815
2023-07-09	0.59783
2023-07-08	0.702236
2023-07-07	1.130038
2023-07-06	1.141455
2023-07-05	1.21389
2023-07-04	0.93541
2023-07-03	1.162911
2023-07-02	0.729136
2023-07-01	0.630708
2023-06-30	1.646766
2023-06-29	1.149148
2023-06-28	1.456343
2023-06-27	1.308765
2023-06-26	1.537099
2023-06-25	0.94316
2023-06-24	0.832515
2023-06-23	1.105933
2023-06-22	1.760482
2023-06-21	1.850777
2023-06-20	1.273936
2023-06-19	0.932514
2023-06-18	0.570158
2023-06-17	0.900468
2023-06-16	1.251325
2023-06-15	1.423209
2023-06-14	1.798464
2023-06-13	1.467828
2023-06-12	1.642748
2023-06-11	0.640927
2023-06-10	1.335255
2023-06-09	0.926321
2023-06-08	1.440795
2023-06-07	1.936502
2023-06-06	1.966092
2023-06-05	2.487546
2023-06-04	0.648864
2023-06-03	0.739796
2023-06-02	1.375895
2023-06-01	1.720185
2023-05-31	1.574432
2023-05-30	0.959781
2023-05-29	1.183001
2023-05-28	0.921217
2023-05-27	0.812248
2023-05-26	1.496584
2023-05-25	0.955348
2023-05-24	1.213021
2023-05-23	1.311863
2023-05-22	0.996834
2023-05-21	0.798659
2023-05-20	0.696494
2023-05-19	1.048592
2023-05-18	1.036462
2023-05-17	1.172789
2023-05-16	1.156294
2023-05-15	1.223373
2023-05-14	0.646747
2023-05-13	0.755373
2023-05-12	1.79515
2023-05-11	1.566715
2023-05-10	1.982579
2023-05-09	1.312974
2023-05-08	1.46717
2023-05-07	0.85492
