date	average_transaction_value
2022-05-15	15185018986.437636761
2022-05-14	47564611029.107353318
2022-05-13	28618078899.453452797
2022-05-12	26584472121.339672802
2022-05-11	38408160106.976921533
2022-05-10	37184065105.710846246
2022-05-09	26527736329.917296678
2022-05-08	8840505129.253832164
2022-05-07	4792057549.114153935
2022-05-06	7952380671.716767788
2022-05-05	14482841603.585485855
2022-05-04	11497207734.274783935
2022-05-03	13926317851.668170426
2022-05-02	11166614794.722957782
2022-05-01	16452754751.234467456
2022-04-30	18544580099.142961877
2022-04-29	17078341251.200243309
2022-04-28	4755149863.346701471
2022-04-27	9849565472.7243083
2022-04-26	18763711306.657840676
2022-04-25	22108975665.02295082
2022-04-24	17773552156.785086551
2022-04-23	7124889725.055662188
2022-04-22	8140335624.20449548
2022-04-21	15114627479.034791252
2022-04-20	11316489424.727063634
2022-04-19	8357663904.766273706
2022-04-18	11694952763.724604966
2022-04-17	4768128004.306753942
2022-04-16	5131685540.400354296
2022-04-15	6361173631.506122449
2022-04-14	5559261507.711485452
2022-04-13	10063134072.30473075
2022-04-12	24948588495.56486767
2022-04-11	29251923041.000959693
2022-04-10	5300563857.596958175
2022-04-09	22378985679.921879124
2022-04-08	11455832955.677703172
2022-04-07	20566260628.300991501
2022-04-06	13255544144.565447154
2022-04-05	6599613786.224591329
2022-04-04	7718699568.751484913
2022-04-03	9836408626.35821256
2022-04-02	5387628291.142616237
2022-04-01	9723408913.920177384
2022-03-31	9290759175.379735069
2022-03-30	37843357961.086647412
2022-03-29	15994658779.9455219
2022-03-28	12006295052.892918455
2022-03-27	18140770551.894524237
2022-03-26	63793815786.868748765
2022-03-25	40092583432.326891106
2022-03-24	47069669044.994772381
2022-03-23	32862960294.72330923
2022-03-22	26530399405.182020472
2022-03-21	14220305145.876545936
2022-03-20	13970853071.223964868
2022-03-19	82239983698.103877838
2022-03-18	26554063170.71982952
2022-03-17	56871660546.710377949
2022-03-16	43975767131.671355213
2022-03-15	15537399461.423214286
2022-03-14	20938620630.543820225
2022-03-13	17525210566.830948122
2022-03-12	14782795334.454149473
2022-03-11	9895192225.981244947
2022-03-10	24586212782.301954397
2022-03-09	51433157837.241098678
2022-03-08	54544825751.557140141
2022-03-07	35959556165.682736455
2022-03-06	58380953915.569790142
2022-03-05	59558842508.238377609
2022-03-04	74299707265.488803583
2022-03-03	65125538375.334457323
2022-03-02	26409672273.653218695
2022-03-01	36246025815.598713826
2022-02-28	41311940821.097162511
2022-02-27	36468630973.461715867
2022-02-26	31572643979.097305032
2022-02-25	42438034031.079597638
2022-02-24	76738738325.781040812
2022-02-23	57989619763.644927536
2022-02-22	54693287511.397851819
2022-02-21	68373390261.147496617
2022-02-20	25734319140.879385965
2022-02-19	39491310791.49686747
2022-02-18	57826129583.480422772
2022-02-17	46412702397.245463462
2022-02-16	25341077898.369888476
2022-02-15	45324155797.674641148
2022-02-14	52762943554.476212906
2022-02-13	29625197419.775710594
2022-02-12	20941583250.824934383
2022-02-11	54947030922.302310084
2022-02-10	25003208152.887327137
2022-02-09	42964421941.622156506
2022-02-08	44471091284.493412665
2022-02-07	46461494668.333912666
2022-02-06	29569017134.523579202
2022-02-05	55611410936.271534762
2022-02-04	21179112162.005413941
2022-02-03	59402410780.838868389
2022-02-02	41354241897.89277082
2022-02-01	44632237482.23923221
2022-01-31	41526499056.54666974
2022-01-30	40009105289.359472243
2022-01-29	110186874737.577332343
2022-01-28	68953448842.20461361
2022-01-27	99075175965.41914116
2022-01-26	91673208607.727050998
2022-01-25	89598798418.268558952
2022-01-24	101325708884.824037185
2022-01-23	48873773787.726555246
2022-01-22	260393580847.229102167
2022-01-21	134245638713.235933905
2022-01-20	141672481007.537028519
2022-01-19	58464931993.07357775
2022-01-18	23253110764.8025
2022-01-17	62197623687.37496794
2022-01-16	69427706797.856842658
2022-01-15	96580693464.070760677
2022-01-14	166623109427.264043554
2022-01-13	214571423478.394177215
2022-01-12	11079339805.701778386
2022-01-11	41086060260.046332046
2022-01-10	61294416508.701053135
2022-01-09	60121584341.068084144
2022-01-08	59035850464.898642732
2022-01-07	59054227790.560572465
2022-01-06	33646210789.254459246
2022-01-05	50019113126.151059322
2022-01-04	35414079154.557142857
2022-01-03	37629542162.334475375
2022-01-02	14756356556.547108209
2022-01-01	51247099659.080413826
2021-12-31	48555323450.777572397
2021-12-30	90499820905.942526625
2021-12-29	91019125320.947733122
2021-12-28	99163357205.961912165
2021-12-27	84886309155.287415946
2021-12-26	51274610335.075233023
2021-12-25	43376384476.12905468
2021-12-24	90648627022.938643927
2021-12-23	104604865293.059011802
2021-12-22	67032992218.293079516
2021-12-21	67024919223.001881271
2021-12-20	38356460975.738603696
2021-12-19	46895502027.692038495
2021-12-18	90823222211.059347181
2021-12-17	65051709717.476442096
2021-12-16	55017793041.773695652
2021-12-15	100205279927.905521472
2021-12-14	27649615114.311447167
2021-12-13	57817748354.844193143
2021-12-12	30669443501.208914809
2021-12-11	60008659371.215658507
2021-12-10	79305218915.260232745
2021-12-09	52565945733.765888208
2021-12-08	64404290751.925464611
2021-12-07	74240561728.053191489
2021-12-06	87481844983.672672673
2021-12-05	62163178852.327011494
2021-12-04	115723645824.842696629
2021-12-03	129028790922.470236985
2021-12-02	156616102253.059495192
2021-12-01	189636654595.306596702
2021-11-30	147153113127.980124224
2021-11-29	125770367850.9590521
2021-11-28	131766058015.902904895
2021-11-27	163526504944.381949592
2021-11-26	180762325606.930495967
2021-11-25	205551616779.695331695
2021-11-24	149265183954.013950617
2021-11-23	106849022274.549853908
2021-11-22	195291208814.395187871
2021-11-21	126304051142.42158187
2021-11-20	109946336172.874887973
2021-11-19	157701819135.84044044
2021-11-18	203291265441.9054414
2021-11-17	174212145493.611951589
2021-11-16	177803992296.662083936
2021-11-15	87867332626.84310532
2021-11-14	101421143534.341458501
2021-11-13	68116609526.081456824
2021-11-12	82000695327.189583333
2021-11-11	63104579859.542106117
2021-11-10	94888397441.726700048
2021-11-09	73014738686.956175945
2021-11-08	38918833849.440076869
2021-11-07	33348466025.510029211
2021-11-06	28412472316.192533983
2021-11-05	27899803744.475532527
2021-11-04	67331873831.742421459
2021-11-03	140103035684.505378338
2021-11-02	150955393487.217335532
2021-11-01	111465336373.28516624
2021-10-31	54137672774.720116618
2021-10-30	27234814271.619930475
2021-10-29	74464141669.027733616
2021-10-28	50712674290.827067669
2021-10-27	80205866175.651760057
2021-10-26	70157656155.049945907
2021-10-25	85874175035.789012876
2021-10-24	65241941815.383050847
2021-10-23	91807779502.269409038
2021-10-22	58505356502.917977127
2021-10-21	51200632735.442999097
2021-10-20	89701988020.788915094
2021-10-19	111935557004.403385873
2021-10-18	60668817353.008297258
2021-10-17	60161541178.514693878
2021-10-16	16846889397.360403955
2021-10-15	34676719159.030015798
2021-10-14	35637078230.989096247
2021-10-13	45660524026.71826087
2021-10-12	24492743575.884395511
2021-10-11	32031852047.373436826
2021-10-10	24928651313.085988651
2021-10-09	20741019862.316984559
2021-10-08	34226681064.865743793
2021-10-07	34735204286.390625
2021-10-06	32685232392.098210736
2021-10-05	80056215494.047467726
