date	total_gas_fee
2024-04-03	40617.483907
2024-04-02	44186.160905
2024-04-01	47308.05977
2024-03-31	38369.111775
2024-03-30	38059.944134
2024-03-29	57221.315461
2024-03-28	57870.064572
2024-03-05	19024.892376
2024-03-04	197824.530314
2024-03-03	135883.557753
2024-03-02	116477.817607
2024-03-01	290155.994774
2024-02-29	327769.201131
2024-02-28	279489.843698
2024-02-27	246679.178764
2024-02-26	194783.253476
2024-02-25	198137.055888
2024-02-24	142868.859488
2024-02-23	123755.806002
2024-02-22	101766.238769
2024-02-21	100065.934131
2024-02-20	118301.983813
2024-02-19	124511.894832
2024-02-18	58029.853189
2024-02-17	53263.765717
2024-02-16	55867.807752
2024-02-15	78637.667494
2024-02-14	63495.343509
2024-02-13	171794.371916
2024-02-12	123590.818742
2024-02-11	361696.222992
2024-02-10	442349.279405
2024-02-09	372366.961993
2024-02-08	317375.55934
2024-02-07	286674.66266
2024-02-06	231881.615397
2024-02-05	258740.491337
2024-02-04	149984.150926
2024-02-03	129089.440765
2024-02-02	123911.889749
2024-02-01	83492.786585
2024-01-31	56572.250763
2024-01-30	65223.507664
2024-01-29	62257.739689
2024-01-28	38583.294289
2024-01-27	43118.910344
2024-01-26	222980.841424
2024-01-25	69995.290098
2024-01-24	51584.640597
2024-01-23	58067.459959
2024-01-22	62482.955581
2024-01-21	59679.972072
2024-01-20	55173.359531
2024-01-19	69329.479187
2024-01-18	59678.170196
2024-01-17	44195.609759
2024-01-16	46350.486713
2024-01-15	39183.532778
2024-01-14	34543.620789
2024-01-13	39858.391232
2024-01-12	82169.249511
2024-01-11	47663.127221
2024-01-10	98334.738044
2024-01-09	44683.671393
2024-01-08	35631.821106
2024-01-07	34355.740929
2024-01-06	47004.999533
2024-01-05	44604.821133
2024-01-04	46880.772492
2024-01-03	42387.277159
2024-01-02	44085.003134
2024-01-01	77528.40188
2023-12-31	115805.472298
2023-12-30	80569.295343
2023-12-29	52012.091296
2023-12-28	125540.591873
2023-12-27	61256.059866
2023-12-26	62352.13871
2023-12-25	65614.003226
2023-12-24	76167.569122
2023-12-23	89190.529507
2023-12-22	189050.816379
2023-12-21	146369.613383
2023-12-20	218308.720092
2023-12-19	545512.290372
2023-12-18	191224.945629
2023-12-17	253442.434027
2023-12-16	291441.618209
2023-12-15	219625.032659
2023-12-14	585547.20353
2023-12-13	164745.030998
2023-12-12	493934.734627
2023-12-11	156087.346395
2023-12-10	151684.265875
2023-12-09	211687.540297
2023-12-08	208585.486854
2023-12-07	66486.927211
2023-12-06	70586.935924
2023-12-05	49043.473388
2023-12-04	88753.589308
2023-12-03	62792.549293
2023-12-02	39027.57776
2023-12-01	57310.226095
2023-11-30	65914.762186
2023-11-29	79158.988464
2023-11-28	191648.938104
2023-11-27	241934.65493
2023-11-26	153823.894963
2023-11-25	90422.517169
2023-11-24	61251.787139
2023-11-23	52022.674896
2023-11-22	51301.108115
2023-11-21	40555.017655
2023-11-20	48272.429426
2023-11-19	40843.010431
2023-11-18	34894.220703
2023-11-17	33188.931855
2023-11-16	30311.755172
2023-11-15	34912.487978
2023-11-14	32500.442452
2023-11-13	27893.821827
2023-11-12	81999.783152
2023-11-11	29419.551409
2023-11-10	28924.987654
2023-11-09	27846.054503
2023-11-08	30625.825366
2023-11-07	28616.718356
2023-11-06	21604.186526
2023-11-05	16215.063442
2023-11-04	16503.269243
2023-11-03	17939.829095
2023-11-02	17495.32056
2023-11-01	17265.442289
2023-10-31	16784.681411
2023-10-30	15874.321358
2023-10-29	15381.891276
2023-10-28	15940.826956
2023-10-27	16855.92972
2023-10-26	20724.00319
2023-10-25	17504.648688
2023-10-24	19494.852736
2023-10-23	17747.599553
2023-10-22	15172.599314
2023-10-21	15792.456251
2023-10-20	18143.483967
2023-10-19	16209.598209
2023-10-18	15603.34167
2023-10-17	18354.009489
2023-10-16	17492.640176
2023-10-15	15345.831324
2023-10-14	16323.708686
2023-10-13	17282.239645
2023-10-12	16848.984291
2023-10-11	16993.237293
2023-10-10	18330.052812
2023-10-09	17964.953667
2023-10-08	16755.185111
2023-10-07	17802.651423
2023-10-06	17861.755928
2023-10-05	18438.994855
2023-10-04	17929.456198
2023-10-03	19083.975035
2023-10-02	18989.17317
2023-10-01	19317.078386
2023-09-30	18120.446437
2023-09-29	21372.048027
2023-09-28	18360.617107
2023-09-27	18429.620618
2023-09-26	17308.823283
2023-09-25	15760.036884
2023-09-24	15423.564365
2023-09-23	16083.006664
2023-09-22	17795.787922
2023-09-21	18062.817744
2023-09-20	17746.331918
2023-09-19	16559.119762
2023-09-18	16972.222128
2023-09-17	18912.211018
2023-09-16	15628.074869
2023-09-15	17914.024766
2023-09-14	16810.929377
2023-09-13	16281.851255
2023-09-12	16819.480048
2023-09-11	17435.699414
2023-09-10	16837.24656
2023-09-09	17847.611504
2023-09-08	18166.495542
2023-09-07	17533.305117
2023-09-06	18581.271107
2023-09-05	16978.682976
2023-09-04	16624.551801
2023-09-03	17329.678328
2023-09-02	17707.806076
2023-09-01	19930.87468
2023-08-31	20292.559711
2023-08-30	18979.856141
2023-08-29	19104.481012
2023-08-28	16933.591016
2023-08-27	15292.593525
2023-08-26	17288.158357
2023-08-25	18744.714491
2023-08-24	18274.160642
2023-08-23	19426.631482
2023-08-22	24187.040412
2023-08-21	18831.955792
2023-08-20	18862.354137
2023-08-19	25104.205614
2023-08-18	22749.43313
2023-08-17	27512.489112
2023-08-16	27449.025343
2023-08-15	26963.311555
2023-08-14	25786.451653
2023-08-13	20913.310268
2023-08-12	21010.845112
2023-08-11	26410.712593
2023-08-10	15498.321618
2023-08-09	27208.550109
2023-08-08	22902.977235
2023-08-07	22110.598336
2023-08-06	18824.004857
2023-08-05	22834.875584
2023-08-04	30357.906052
2023-08-03	31112.086588
2023-08-02	29832.967131
2023-08-01	29533.678391
2023-07-31	28816.053405
2023-07-30	33960.450681
2023-07-29	31418.093611
2023-07-28	34876.263744
2023-07-27	40585.883871
2023-07-26	31870.785213
2023-07-25	38462.288647
2023-07-24	46166.097249
2023-07-23	24904.820825
2023-07-22	27110.921724
2023-07-21	29138.629022
2023-07-20	27978.179388
2023-07-19	21720.020149
2023-07-18	20777.184912
2023-07-17	19929.913753
2023-07-16	19949.282655
2023-07-15	22699.335339
2023-07-14	27394.862998
2023-07-13	26266.169527
2023-07-12	21446.534151
2023-07-11	21078.60182
2023-07-10	19087.735031
2023-07-09	17194.63153
2023-07-08	19064.107079
2023-07-07	22187.743153
2023-07-06	22682.895935
2023-07-05	23174.052919
2023-07-04	26085.229065
2023-07-03	5375.809532
2023-06-03	19047.343481
2023-06-02	52937.65639
2023-06-01	74569.281554
2023-05-31	60010.25809
2023-05-30	68286.109003
2023-05-29	84194.874402
2023-05-28	66412.85623
2023-05-27	69499.219986
2023-05-26	61328.700793
2023-05-25	63659.097228
2023-05-24	67705.895272
2023-05-23	81097.651057
2023-05-22	86843.431835
2023-05-21	67953.365452
2023-05-20	68260.287656
2023-05-19	52546.538888
2023-05-18	64000.193819
2023-05-17	94318.503746
