date	total_gas_fee
2022-05-15	45473112
2022-05-14	58595805
2022-05-13	66525157
2022-05-12	78399965
2022-05-11	65311201
2022-05-10	62582838
2022-05-09	78344924
2022-05-08	49334088
2022-05-07	43310469
2022-05-06	52598055
2022-05-05	55152985
2022-05-04	58810502
2022-05-03	57459247
2022-05-02	58371714
2022-05-01	50173700
2022-04-30	52997924
2022-04-29	57786600
2022-04-28	54234505
2022-04-27	58024613
2022-04-26	93559845
2022-04-25	66785160
2022-04-24	55815094
2022-04-23	45673429
2022-04-22	55480827
2022-04-21	51295050
2022-04-20	67207917
2022-04-19	76193787
2022-04-18	52508392
2022-04-17	38493764
2022-04-16	41395233
2022-04-15	42794345
2022-04-14	47595070
2022-04-13	46911273
2022-04-12	50459693
2022-04-11	65214697
2022-04-10	77863730
2022-04-09	80233468
2022-04-08	72167201
2022-04-07	80012101
2022-04-06	83914685
2022-04-05	59351694
2022-04-04	66438357
2022-04-03	77174050
2022-04-02	74025558
2022-04-01	88480097
2022-03-31	106375400
2022-03-30	63335889
2022-03-29	94325829
2022-03-28	92858115
2022-03-27	87881524
2022-03-26	109029893
2022-03-25	94449947
2022-03-24	93667476
2022-03-23	79693507
2022-03-22	92757728
2022-03-21	76529419
2022-03-20	82610226
2022-03-19	93077449
2022-03-18	63147118
2022-03-17	72057941
2022-03-16	61932790
2022-03-15	62682026
2022-03-14	71824127
2022-03-13	55572008
2022-03-12	75268336
2022-03-11	304623926
2022-03-10	213890597
2022-03-09	116063423
2022-03-08	75003058
2022-03-07	60415610
2022-03-06	59145349
2022-03-05	70703693
2022-03-04	81057710
2022-03-03	75635344
2022-03-02	84013707
2022-03-01	83252356
2022-02-28	70354553
2022-02-27	61454923
2022-02-26	55832276
2022-02-25	76237461
2022-02-24	85064220
2022-02-23	71090655
2022-02-22	73646587
2022-02-21	68659625
2022-02-20	52453739
2022-02-19	56830029
2022-02-18	59191896
2022-02-17	59786240
2022-02-16	111009606
2022-02-15	75983758
2022-02-14	61317631
2022-02-13	48422260
2022-02-12	59343806
2022-02-11	94700885
2022-02-10	96216097
2022-02-09	80687393
2022-02-08	95708734
2022-02-07	87344407
2022-02-06	77561222
2022-02-05	102235886
2022-02-04	72469068
2022-02-03	69453879
2022-02-02	74390150
2022-02-01	72982149
2022-01-31	69719844
2022-01-30	52709446
2022-01-29	62401222
2022-01-28	55539759
2022-01-27	53809027
2022-01-26	69769354
2022-01-25	57447431
2022-01-24	100616336
2022-01-23	62774875
2022-01-22	93107991
2022-01-21	76645520
2022-01-20	74732579
2022-01-19	51471958
2022-01-18	51982115
2022-01-17	57357919
2022-01-16	58301192
2022-01-15	55194698
2022-01-14	59955207
2022-01-13	60460870
2022-01-12	62536073
2022-01-11	49299651
2022-01-10	69772932
2022-01-09	79893574
2022-01-08	69685855
2022-01-07	74700000
2022-01-06	83371432
2022-01-05	84399146
2022-01-04	83478372
2022-01-03	77561092
2022-01-02	76109148
2022-01-01	64615061
2021-12-31	77368336
2021-12-30	84405195
2021-12-29	70928316
2021-12-28	89456092
2021-12-27	110192471
2021-12-26	79167834
2021-12-25	61223678
2021-12-24	77505533
