address	balance
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo	24859747046242
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97	20401007706891
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2	13489481097218
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt	9464330762512
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs	9450534432477
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF	7995726510903
3E97AjYaCq9QYnfFMtBCYiCEsN956Rvpj2	7517738814162
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6	6937017897025
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb	6820000503963
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4	6646519998462
