date	total_num_addresses
2024-03-12	939692
2024-03-11	1139020
2024-03-10	873972
2024-03-09	940966
2024-03-08	965916
2024-03-07	1045624
2024-03-06	934042
2024-03-05	1174926
2024-03-04	900297
2024-03-03	866349
2024-03-02	845759
2024-03-01	1065754
2024-02-29	1005567
2024-02-28	1046938
2024-02-27	923179
2024-02-26	884329
2024-02-25	908205
2024-02-24	822973
2024-02-23	953945
2024-02-22	860531
2024-02-21	828959
2024-02-20	879965
2024-02-19	877518
2024-02-18	759402
2024-02-17	850975
2024-02-16	858413
2024-02-15	886946
2024-02-14	799661
2024-02-13	862962
2024-02-12	1009686
2024-02-11	856030
2024-02-10	962140
2024-02-09	963041
2024-02-08	817557
2024-02-07	909344
2024-02-06	861174
2024-02-05	854077
2024-02-04	807380
2024-02-03	818423
2024-02-02	932784
2024-02-01	948860
2024-01-31	876782
2024-01-30	916025
2024-01-29	963016
2024-01-28	899984
2024-01-27	979299
2024-01-26	908781
2024-01-25	1102828
2024-01-24	893063
2024-01-23	869624
2024-01-22	983112
2024-01-21	878379
2024-01-20	911943
2024-01-19	854201
2024-01-18	936785
2024-01-17	843100
2024-01-16	777712
2024-01-15	799151
2024-01-14	711613
2024-01-13	848148
2024-01-12	998633
2024-01-11	968663
2024-01-10	856843
2024-01-09	935495
2024-01-08	809278
2024-01-07	726494
2024-01-06	815325
2024-01-05	868879
2024-01-04	1025456
2024-01-03	958234
2024-01-02	876861
2024-01-01	845486
2023-12-31	793703
2023-12-30	807966
2023-12-29	922051
2023-12-28	848674
2023-12-27	775268
2023-12-26	746048
2023-12-25	707047
2023-12-24	914956
2023-12-23	908560
2023-12-22	1019741
2023-12-21	818059
2023-12-20	790695
2023-12-19	828993
2023-12-18	934037
2023-12-17	707359
2023-12-16	743285
2023-12-15	882952
2023-12-14	701811
2023-12-13	764902
2023-12-12	900468
2023-12-11	1071567
2023-12-10	864229
2023-12-09	955551
2023-12-08	936564
2023-12-07	907921
2023-12-06	866120
2023-12-05	865483
2023-12-04	1040544
2023-12-03	922008
2023-12-02	865744
2023-12-01	1117312
2023-11-30	967326
2023-11-29	927484
2023-11-28	994152
2023-11-27	972020
2023-11-26	978981
2023-11-25	1030991
2023-11-24	1135376
2023-11-23	966211
2023-11-22	983283
2023-11-21	1004116
2023-11-20	1070654
2023-11-19	960190
2023-11-18	867084
2023-11-17	1018940
2023-11-16	938169
2023-11-15	970942
2023-11-14	959901
2023-11-13	962078
2023-11-12	1015437
2023-11-11	1072884
2023-11-10	1126341
2023-11-09	1000533
2023-11-08	1006491
2023-11-07	962942
2023-11-06	1000768
2023-11-05	1132351
2023-11-04	1121107
2023-11-03	991167
2023-11-02	1078718
2023-11-01	1042925
2023-10-31	1054273
2023-10-30	1105712
2023-10-29	906239
2023-10-28	1028701
2023-10-27	1060419
2023-10-26	1084798
2023-10-25	1085437
2023-10-24	1030593
2023-10-23	1052873
2023-10-22	810757
2023-10-21	889257
2023-10-20	960129
2023-10-19	911129
2023-10-18	923760
2023-10-17	923336
2023-10-16	1025139
2023-10-15	779037
2023-10-14	830652
2023-10-13	919317
2023-10-12	899971
2023-10-11	866739
2023-10-10	908967
2023-10-09	958607
2023-10-08	788615
2023-10-07	866698
2023-10-06	920042
2023-10-05	953504
2023-10-04	887242
2023-10-03	1086734
2023-10-02	1032203
2023-10-01	932326
2023-09-30	1018477
2023-09-29	1055075
2023-09-28	1037665
2023-09-27	1079190
2023-09-26	1027121
2023-09-25	1105224
2023-09-24	1057446
2023-09-23	1090031
2023-09-22	983637
2023-09-21	1083042
2023-09-20	1064416
2023-09-19	1027880
