date	total_num_addresses
2022-05-15	14330
2022-05-14	15917
2022-05-13	16898
2022-05-12	21601
2022-05-11	23653
2022-05-10	24675
2022-05-09	56186
2022-05-08	24460
2022-05-07	20819
2022-05-06	20902
2022-05-05	25098
2022-05-04	29673
2022-05-03	27007
2022-05-02	56410
2022-05-01	22483
2022-04-30	22508
2022-04-29	23446
2022-04-28	23092
2022-04-27	24654
2022-04-26	29419
2022-04-25	60772
2022-04-24	15145
2022-04-23	14933
2022-04-22	20432
2022-04-21	19067
2022-04-20	19075
2022-04-19	25223
2022-04-18	55500
2022-04-17	15881
2022-04-16	14958
2022-04-15	22675
2022-04-14	15574
2022-04-13	21802
2022-04-12	26109
2022-04-11	62154
2022-04-10	29579
2022-04-09	16935
2022-04-08	22861
2022-04-07	26737
2022-04-06	26078
2022-04-05	31118
2022-04-04	40548
2022-04-03	25412
2022-04-02	22065
2022-04-01	32831
2022-03-31	19340
2022-03-30	19682
2022-03-29	28606
2022-03-28	29806
2022-03-27	25131
2022-03-26	28283
2022-03-25	25443
2022-03-24	25593
2022-03-23	29163
2022-03-22	28952
2022-03-21	26043
2022-03-20	27460
2022-03-19	26986
2022-03-18	21834
2022-03-17	27339
2022-03-16	24970
2022-03-15	29315
2022-03-14	28919
2022-03-13	24598
2022-03-12	25096
2022-03-11	71555
2022-03-10	81188
2022-03-09	29684
2022-03-08	29882
2022-03-07	36184
2022-03-06	24430
2022-03-05	24048
2022-03-04	31698
2022-03-03	25647
2022-03-02	28151
2022-03-01	29766
2022-02-28	29402
2022-02-27	26782
2022-02-26	18535
2022-02-25	24206
2022-02-24	26440
2022-02-23	28070
2022-02-22	29050
2022-02-21	37071
2022-02-20	24594
2022-02-19	25000
2022-02-18	24831
2022-02-17	26174
2022-02-16	28927
2022-02-15	29112
2022-02-14	36527
2022-02-13	25198
2022-02-12	25441
2022-02-11	26200
2022-02-10	34356
2022-02-09	24719
2022-02-08	26147
2022-02-07	44397
2022-02-06	26251
2022-02-05	28238
2022-02-04	27486
2022-02-03	29590
2022-02-02	25492
2022-02-01	28426
2022-01-31	66080
2022-01-30	25289
2022-01-29	24352
2022-01-28	24410
2022-01-27	25506
2022-01-26	29270
2022-01-25	29828
2022-01-24	49783
2022-01-23	25926
2022-01-22	27424
2022-01-21	27918
2022-01-20	36217
2022-01-19	23265
2022-01-18	24747
2022-01-17	38444
2022-01-16	25294
2022-01-15	24836
2022-01-14	25939
2022-01-13	26429
2022-01-12	34157
2022-01-11	9662
2022-01-10	34540
2022-01-09	28262
2022-01-08	27449
2022-01-07	28147
2022-01-06	27832
2022-01-05	30574
2022-01-04	36222
2022-01-03	37833
2022-01-02	26492
2022-01-01	26455
2021-12-31	27992
2021-12-30	29401
2021-12-29	30216
2021-12-28	30409
2021-12-27	63038
2021-12-26	27062
2021-12-25	26115
2021-12-24	23316
2021-12-23	28503
2021-12-22	31035
2021-12-21	30095
2021-12-20	62768
2021-12-19	29289
2021-12-18	34445
2021-12-17	35271
2021-12-16	19483
2021-12-15	22273
2021-12-14	32179
2021-12-13	67703
2021-12-12	33208
2021-12-11	33591
2021-12-10	36269
2021-12-09	33512
2021-12-08	33168
2021-12-07	34262
2021-12-06	66199
2021-12-05	31024
2021-12-04	20680
2021-12-03	26971
2021-12-02	26458
2021-12-01	27363
2021-11-30	30902
2021-11-29	68638
2021-11-28	25527
2021-11-27	24983
2021-11-26	27295
2021-11-25	30166
2021-11-24	33613
2021-11-23	28720
2021-11-22	69412
2021-11-21	29281
2021-11-20	26031
2021-11-19	25679
2021-11-18	29646
2021-11-17	26559
2021-11-16	29515
2021-11-15	69382
2021-11-14	26883
2021-11-13	24589
2021-11-12	28351
2021-11-11	28232
2021-11-10	30963
2021-11-09	28368
2021-11-08	71587
2021-11-07	26304
2021-11-06	25931
2021-11-05	26175
2021-11-04	29082
2021-11-03	30206
2021-11-02	27846
2021-11-01	71768
2021-10-31	28937
2021-10-30	25740
2021-10-29	27470
2021-10-28	27436
2021-10-27	28593
2021-10-26	26760
2021-10-25	69314
2021-10-24	29135
2021-10-23	27107
2021-10-22	27768
2021-10-21	27623
2021-10-20	31054
2021-10-19	23324
2021-10-18	69600
2021-10-17	26272
2021-10-16	25599
2021-10-15	26615
2021-10-14	26897
2021-10-13	24896
2021-10-12	27327
2021-10-11	27402
2021-10-10	24673
2021-10-09	24945
2021-10-08	24814
2021-10-07	25972
2021-10-06	25589
2021-10-05	27657
2021-10-04	56346
2021-10-03	24393
2021-10-02	25121
2021-10-01	27415
2021-09-30	20752
2021-09-29	24943
2021-09-28	26751
2021-09-27	57702
2021-09-26	25261
2021-09-25	26326
2021-09-24	37940
2021-09-23	37120
2021-09-22	35391
2021-09-21	38185
2021-09-20	71282
2021-09-19	36319
2021-09-18	37470
2021-09-17	41047
2021-09-16	38696
2021-09-15	37895
2021-09-14	40354
2021-09-13	73662
2021-09-12	38025
2021-09-11	36198
2021-09-10	37683
2021-09-09	38744
