date	total_transaction_volume
2024-04-02	1884234.948863
2024-04-01	2311348.550116
2024-03-31	1800863.503749
2024-03-30	1340240.885922
2024-03-29	2522538.870988
2024-03-28	3543672.910997
2024-03-27	3604048.604291
2024-03-26	1488954.021602
2024-03-25	1778920.978073
2024-03-24	1636170.998213
2024-03-23	1912063.083171
2024-03-22	1742532.790969
2024-03-21	2058776.452106
2024-03-20	1181513.886632
2024-03-19	1433941.151098
2024-03-18	1243695.286139
2024-03-17	1404973.582741
2024-03-16	1510209.633459
2024-03-15	1575297.889276
2024-03-14	2141322.84108
2024-03-13	2029990.142628
2024-03-12	1515310.631165
2024-03-11	1394903.111757
2024-03-10	1270034.480914
2024-03-09	1319307.813399
2024-03-08	1631019.004928
2024-03-07	1113484.399191
2024-03-06	2095253.433196
2024-03-05	3663218.017931
2024-03-04	1997554.911981
2024-03-03	2690622.851873
2024-03-02	3504661.160899
2024-03-01	1582996.347663
2024-02-29	1509825.090228
2024-02-28	1234313.887764
2024-02-27	2065257.478131
2024-02-26	1207572.839202
2024-02-25	668279.527169
2024-02-24	801448.108446
2024-02-23	906114.49581
2024-02-22	603678.320682
2024-02-21	859061.401614
2024-02-20	661916.186348
2024-02-19	702203.868988
2024-02-18	752545.014348
2024-02-17	922281.052175
2024-02-16	5081336.474978
2024-02-15	5107873.683445
2024-02-14	942300.675785
2024-02-13	912346.713732
2024-02-12	1724125.233154
2024-02-11	2469058.089244
2024-02-10	667046.776086
2024-02-09	1027584.026532
2024-02-08	1169289.329399
2024-02-07	722126.743966
2024-02-06	556658.168012
2024-02-05	546465.53803
2024-02-04	615380.76256
2024-02-03	693358.669767
2024-02-02	831911.56356
2024-02-01	975398.510324
2024-01-31	1223521.301288
2024-01-30	623097.490585
2024-01-29	746966.225787
2024-01-28	441951.697865
2024-01-27	550403.977472
2024-01-26	779891.960072
2024-01-25	1245273.078349
2024-01-24	1533540.017704
2024-01-23	2032249.682083
2024-01-22	1515031.325588
2024-01-21	939270.273748
2024-01-20	1216084.548528
2024-01-19	1197208.390601
2024-01-18	1004543.674225
2024-01-17	1373376.167646
2024-01-16	686881.60199
2024-01-15	812932.913893
2024-01-14	628405.001063
2024-01-13	750828.054956
2024-01-12	1974704.536751
2024-01-11	1985673.206415
2024-01-10	744727.472786
2024-01-09	849394.709065
2024-01-08	1658531.178885
2024-01-07	559664.416252
2024-01-06	770219.279365
2024-01-05	780592.013621
2024-01-04	1120226.61877
2024-01-03	1751249.868989
2024-01-02	2590887.228091
2024-01-01	1642441.350501
2023-12-31	1396446.796394
2023-12-30	5561809.380477
2023-12-29	2031609.239111
2023-12-28	4094895.920006
2023-12-27	3466099.20598
2023-12-26	1365654.571982
2023-12-25	1083073.80041
2023-12-24	1047673.854377
2023-12-23	1157918.733854
2023-12-22	1410500.190352
2023-12-21	1017557.878013
2023-12-20	1037779.812545
2023-12-19	1273565.991994
2023-12-18	1269631.310918
2023-12-17	885767.886709
2023-12-16	810507.119609
2023-12-15	1194781.622399
2023-12-14	938207.754846
2023-12-13	880189.903479
2023-12-12	849676.663719
2023-12-11	1212501.530472
2023-12-10	1048107.465599
2023-12-09	1049380.345282
2023-12-08	928312.728727
2023-12-07	822773.143139
2023-12-06	1262371.40535
2023-12-05	1443825.882079
2023-12-04	1716831.602123
2023-12-03	820633.559555
2023-12-02	751028.074653
2023-12-01	1061913.774092
2023-11-30	801371.035237
2023-11-29	839180.55495
2023-11-28	1585052.624591
2023-11-27	929857.462825
2023-11-26	771899.675646
2023-11-25	563155.327869
2023-11-24	791228.061952
2023-11-23	702741.331663
