date	total_transaction_volume
2024-04-03	831638.891198
2024-04-02	1089895.579325
2024-04-01	1263750.226032
2024-03-31	456585.362083
2024-03-30	521174.14827
2024-03-29	923032.087992
2024-03-28	973794.87525
2024-03-27	986508.123295
2024-03-26	1161761.714732
2024-03-25	1250324.715664
2024-03-24	513831.826246
2024-03-23	716711.751344
2024-03-22	880810.161742
2024-03-21	871242.750583
2024-03-20	1108934.467963
2024-03-19	1101740.793696
2024-03-18	961901.276013
2024-03-17	685357.217688
2024-03-16	633026.289949
2024-03-15	1154363.775018
2024-03-14	1276449.595495
2024-03-13	1627008.320983
2024-03-12	1382859.473464
2024-03-11	1357921.618255
2024-03-10	724387.04431
2024-03-09	678901.181913
2024-03-08	1202203.516034
2024-03-07	1244924.777049
2024-03-06	1421341.484704
2024-03-05	1677292.222256
2024-03-04	1219310.001088
2024-03-03	637045.239023
2024-03-02	597338.55216
2024-03-01	1184688.521841
2024-02-29	1357774.042565
2024-02-28	1541489.950014
2024-02-27	1246634.431771
2024-02-26	971510.201839
2024-02-25	540581.51049
2024-02-24	533906.623693
2024-02-23	800371.323655
2024-02-22	915552.632584
2024-02-21	1026772.206487
2024-02-20	999200.046274
2024-02-19	829201.649222
2024-02-18	575882.336807
2024-02-17	559779.518775
2024-02-16	935832.051855
2024-02-15	977279.799012
2024-02-14	1231205.903988
2024-02-13	1073805.942646
2024-02-12	972033.842641
2024-02-11	637272.341452
2024-02-10	628824.72024
2024-02-09	1044842.797938
2024-02-08	960367.871171
2024-02-07	845276.041086
2024-02-06	931934.095197
2024-02-05	848422.438814
2024-02-04	543747.42923
2024-02-03	598002.588007
2024-02-02	855293.344585
2024-02-01	979837.439912
2024-01-31	1364459.545047
2024-01-30	1131865.135212
2024-01-29	914777.726591
2024-01-28	453363.430792
2024-01-27	644834.49784
2024-01-26	1068360.657245
2024-01-25	1011347.013592
2024-01-24	1109813.943723
2024-01-23	975329.384545
2024-01-22	1101199.699351
2024-01-21	569630.801036
2024-01-20	531929.096328
2024-01-19	943842.375001
2024-01-18	1135734.676753
2024-01-17	1212120.662492
2024-01-16	921548.575565
2024-01-15	707262.514621
2024-01-14	505892.721594
2024-01-13	710384.372342
2024-01-12	1449244.712849
2024-01-11	1151912.713758
2024-01-10	1314482.10716
2024-01-09	1141429.203041
2024-01-08	847723.860686
2024-01-07	574159.190216
