date	total_transaction_volume
2024-04-03	18706255239.730072
2024-04-02	34726901121.795039
2024-04-01	24077235909.974023
2024-03-31	12677717430.271499
2024-03-30	11211042484.410534
2024-03-29	23841170334.337989
2024-03-28	31997575815.658461
2024-03-05	2897559659.486046
2024-03-04	33322391733.906072
2024-03-03	20762946867.469631
2024-03-02	23281011996.05851
2024-03-01	24991067911.924476
2024-02-29	34751796053.434046
2024-02-28	33105327150.730866
2024-02-27	22671474765.931563
2024-02-26	13577798510.400764
2024-02-25	6310203072.353402
2024-02-24	9091236998.24966
2024-02-23	9336842932.750379
2024-02-22	11692846761.276321
2024-02-21	12356762975.861011
2024-02-20	17663097064.397294
2024-02-19	16886114850.827146
2024-02-18	13616628416.523076
2024-02-17	11871281295.493171
2024-02-16	15894304726.771245
2024-02-15	17530462998.87585
2024-02-14	16459810093.098684
2024-02-13	12048614148.989118
2024-02-12	9718724199.668996
2024-02-11	8658385256.634357
2024-02-10	10605657448.240883
2024-02-09	13867358306.16064
2024-02-08	13245857458.012472
2024-02-07	9919233275.372993
2024-02-06	13353151805.988509
2024-02-05	12577905952.059431
2024-02-04	10053925055.314161
2024-02-03	9832744159.350604
2024-02-02	9359590978.960162
2024-02-01	10928439433.938108
2024-01-31	11605029392.589373
2024-01-30	13490932046.743055
2024-01-29	9441823488.904621
2024-01-28	6033520564.58102
2024-01-27	7027556290.556151
2024-01-26	9048680162.315756
2024-01-25	8805326662.949951
2024-01-24	9268254895.725405
2024-01-23	13236986655.246868
2024-01-22	17202433671.233721
2024-01-21	14083264510.999837
2024-01-20	14785443297.690147
2024-01-19	14021398873.894484
2024-01-18	14738779160.390987
2024-01-17	14392100352.052554
2024-01-16	15122457906.000809
2024-01-15	12720064498.354944
2024-01-14	13912171113.620374
2024-01-13	12284524777.798702
2024-01-12	15112031555.7555
2024-01-11	16487327062.404204
2024-01-10	18249733852.15497
2024-01-09	13709872675.941428
2024-01-08	9683249576.897477
2024-01-07	11352365066.884973
2024-01-06	10733719983.150919
2024-01-05	9646245949.599679
2024-01-04	16180644779.758266
2024-01-03	16310842754.881283
2024-01-02	14492971447.157035
2024-01-01	10592238113.321499
2023-12-31	10304919880.701755
2023-12-30	10716022394.119147
2023-12-29	14550879030.169671
2023-12-28	17114454517.110943
2023-12-27	18452410173.396168
2023-12-26	14884398062.896277
2023-12-25	13717259435.917249
2023-12-24	11180697699.407576
2023-12-23	11023900765.928174
2023-12-22	13487987885.243937
2023-12-21	15796178674.227311
2023-12-20	13043439254.02994
2023-12-19	14684453158.957592
2023-12-18	13681247579.108538
2023-12-17	16395177866.423885
2023-12-16	15432586755.446876
2023-12-15	14588238136.025632
2023-12-14	14303517680.763881
2023-12-13	13479918980.995702
2023-12-12	14256216418.919248
2023-12-11	17577752988.316448
2023-12-10	14630864257.186454
2023-12-09	15602025230.078984
2023-12-08	17740722078.059626
2023-12-07	21672162483.781295
2023-12-06	27409932095.073953
2023-12-05	20396554777.259587
2023-12-04	17652079762.218644
2023-12-03	12954314099.701879
2023-12-02	10762983659.2036
2023-12-01	17558589631.773105
2023-11-30	14683882580.214822
2023-11-29	17591108254.855228
2023-11-28	17389760482.762939
2023-11-27	16916579972.707136
2023-11-26	12812440318.356123
2023-11-25	12406046042.996028
2023-11-24	14683557544.370844
2023-11-23	13708387783.900657
2023-11-22	17653749956.453166
2023-11-21	21996061988.783948
2023-11-20	17960629090.66896
2023-11-19	13599723685.735399
2023-11-18	12895464494.77586
2023-11-17	27024047963.421421
2023-11-16	18571100558.847254
2023-11-15	11944609120.409547
2023-11-14	12240977002.732287
2023-11-13	13106932534.641615
2023-11-12	11104136633.920104
2023-11-11	14587233834.981009
2023-11-10	11504631881.705332
2023-11-09	17574352974.164222
2023-11-08	14834596401.117139
2023-11-07	18928594188.289618
2023-11-06	21252508561.556744
2023-11-05	14299326832.597728
2023-11-04	12502232797.735806
2023-11-03	8597443952.568623
2023-11-02	10585109467.327285
2023-11-01	10571795082.206387
2023-10-31	11351042189.560272
2023-10-30	9808423654.760388
2023-10-29	9628931077.66722
2023-10-28	9535320107.195923
2023-10-27	14380550261.15845
2023-10-26	21008626129.94627
2023-10-25	17669604673.462993
2023-10-24	18725520418.935772
2023-10-23	19806481291.491451
2023-10-22	11776504564.39371
2023-10-21	11349766459.547927
2023-10-20	12477716109.609979
2023-10-19	20823370152.943934
2023-10-18	18398941778.508869
2023-10-17	20691021300.866818
2023-10-16	19926016395.700822
2023-10-15	17297435122.474217
