date	total_transaction_volume
2024-04-03	1460609.846629
2024-04-02	1915310.904729
2024-04-01	1463922.737515
2024-03-31	895261.702323
2024-03-30	901208.744532
2024-03-29	1237918.133449
2024-03-28	1464973.542341
2024-03-27	1978429.861923
2024-03-26	2008376.665428
2024-03-25	1686326.670374
2024-03-24	781011.609605
2024-03-23	886172.154143
2024-03-22	1527720.810668
2024-03-21	1693802.390726
2024-03-20	2496371.22795
2024-03-19	2224503.004131
2024-03-18	1887647.841417
2024-03-17	1220663.566937
2024-03-16	1176959.242223
2024-03-15	2036321.29342
2024-03-14	1885402.673496
2024-03-13	2049240.302183
2024-03-12	2026102.085377
2024-03-11	2245017.275397
2024-03-10	1107912.397553
2024-03-09	1028373.334341
2024-03-08	1889031.657678
2024-03-07	1795606.186371
2024-03-06	2373402.059327
2024-03-05	2520539.611931
2024-03-04	1689246.55221
2024-03-03	974693.310073
2024-03-02	1027691.047954
2024-03-01	1531783.610112
2024-02-29	1819176.267079
2024-02-28	2204791.850104
2024-02-27	2064229.318157
2024-02-26	1817437.374296
2024-02-25	1121988.818541
2024-02-24	874005.134578
2024-02-23	1225240.455795
2024-02-22	1548657.531361
2024-02-21	1688058.477548
2024-02-20	1865287.800784
2024-02-19	1576920.890324
2024-02-18	834199.472595
2024-02-17	759183.778485
2024-02-16	1297520.761073
2024-02-15	1463375.956877
2024-02-14	1893482.85924
2024-02-13	1563230.553781
2024-02-12	1452550.28758
2024-02-11	633194.295355
2024-02-10	773641.745124
2024-02-09	2061697.581766
2024-02-08	1678608.919926
2024-02-07	1994560.635904
2024-02-06	1502564.530712
2024-02-05	1705875.344323
2024-02-04	775676.190643
2024-02-03	607556.931082
2024-02-02	1263631.086792
2024-02-01	1499226.809734
2024-01-31	2173243.396229
2024-01-30	1642038.272682
2024-01-29	1463592.495141
2024-01-28	720522.577067
2024-01-27	772443.528349
2024-01-26	1615862.527378
2024-01-25	3339089.311155
2024-01-24	1277782.745929
2024-01-23	2696317.006356
2024-01-22	1707403.44789
2024-01-21	746799.351583
2024-01-20	671313.559045
2024-01-19	1384366.647328
2024-01-18	1553830.581307
2024-01-17	1217192.63919
2024-01-16	1229379.735825
2024-01-15	1261272.802193
2024-01-14	799520.080475
2024-01-13	946885.351284
2024-01-12	1998137.078896
2024-01-11	2307324.374498
2024-01-10	2286241.027757
2024-01-09	1620927.73351
2024-01-08	1603521.867265
2024-01-07	677573.264067
2024-01-06	751560.098193
2024-01-05	1516000.473223
2024-01-04	1426805.605969
2024-01-03	1676844.713815
2024-01-02	1486079.522512
2024-01-01	945182.998326
2023-12-31	883407.146776
2023-12-30	1021152.617883
2023-12-29	1752282.511491
2023-12-28	1838629.664504
2023-12-27	1680696.431224
2023-12-26	1658915.795319
2023-12-25	860451.223733
2023-12-24	888633.128189
2023-12-23	979518.171674
2023-12-22	2203142.219792
2023-12-21	1764731.648479
2023-12-20	2150066.250059
2023-12-19	2111814.46481
2023-12-18	1954367.794101
2023-12-17	1146084.790756
2023-12-16	875594.655251
2023-12-15	1480895.408769
2023-12-14	1156129.416074
2023-12-13	1391204.692282
2023-12-12	1343739.003085
2023-12-11	1648920.249976
2023-12-10	793035.310848
2023-12-09	852222.049984
2023-12-08	1412774.725036
2023-12-07	1417659.718463
2023-12-06	1588019.077174
2023-12-05	1524673.423919
2023-12-04	1728275.010759
2023-12-03	857141.205683
2023-12-02	775883.565537
2023-12-01	1631681.067669
2023-11-30	1476730.299979
2023-11-29	1197781.490653
2023-11-28	1315619.558271
2023-11-27	1452879.595085
2023-11-26	721196.919482
2023-11-25	746681.824488
2023-11-24	1436313.000109
2023-11-23	1378340.632362
2023-11-22	1755092.301452
2023-11-21	1268902.885927
2023-11-20	1305929.540425
2023-11-19	937957.919167
2023-11-18	1035890.412264
2023-11-17	1405035.688639
2023-11-16	1524460.960305
2023-11-15	1544075.659442
2023-11-14	1455388.713158
2023-11-13	1443418.797398
2023-11-12	1125486.72077
2023-11-11	1024587.788145
2023-11-10	2391459.526091
2023-11-09	2214715.22371
2023-11-08	1388866.614131
2023-11-07	1636928.437356
2023-11-06	1405507.987153
2023-11-05	919549.473747
2023-11-04	682695.850726
2023-11-03	1385222.5346
2023-11-02	1567843.901765
2023-11-01	1635704.924163
2023-10-31	1176304.341425
2023-10-30	1464128.179533
2023-10-29	646608.13279
2023-10-28	706212.109994
2023-10-27	1183263.261516
2023-10-26	1394666.637866
2023-10-25	1356053.486349
2023-10-24	2135542.568612
2023-10-23	1658178.262254
2023-10-22	638810.816793
2023-10-21	813289.353718
2023-10-20	1440086.879396
2023-10-19	919727.076932
2023-10-18	1137880.224673
2023-10-17	1083630.288583
2023-10-16	1123201.23039
2023-10-15	537690.86338
2023-10-14	511707.142271
2023-10-13	980432.183916
2023-10-12	924069.796535
2023-10-11	1181947.635968
2023-10-10	1392419.028634
2023-10-09	1062423.269653
2023-10-08	813861.33562
2023-10-07	712157.045009
2023-10-06	1043415.75778
2023-10-05	1236886.76445
2023-10-04	1278023.810933
2023-10-03	1083186.879541
2023-10-02	1720402.900552
2023-10-01	912186.798686
2023-09-30	862820.347567
2023-09-29	1119564.422506
2023-09-28	1082024.400767
2023-09-27	846040.510065
2023-09-26	834962.468847
2023-09-25	787269.781877
2023-09-24	565681.665253
2023-09-23	546480.375133
2023-09-22	846965.166697
2023-09-21	944987.026207
2023-09-20	1038606.662237
2023-09-19	1056535.167808
2023-09-18	940617.051548
2023-09-17	486770.569818
2023-09-16	654380.76498
2023-09-15	991701.502644
2023-09-14	968240.182883
2023-09-13	1168605.42761
2023-09-12	4157631.462644
2023-09-11	1897662.515648
2023-09-10	729145.134311
2023-09-09	511563.29721
2023-09-08	935541.770834
2023-09-07	981597.364573
2023-09-06	947286.950273
2023-09-05	976122.83778
2023-09-04	1228518.120217
2023-09-03	516658.297115
2023-09-02	683824.684408
2023-09-01	1102377.238289
2023-08-31	1343571.086731
2023-08-30	946604.712632
2023-08-29	1292232.221197
2023-08-28	900014.50553
2023-08-27	656704.887683
2023-08-26	484260.885531
2023-08-25	1006475.232657
2023-08-24	904269.615899
2023-08-23	1398273.281667
2023-08-22	1382059.556735
2023-08-21	1180386.080093
2023-08-20	743594.809841
2023-08-19	761894.065511
2023-08-18	1931928.295044
2023-08-17	2034157.545734
2023-08-16	1139588.184204
2023-08-15	882309.540989
2023-08-14	862287.999321
2023-08-13	519223.569125
2023-08-12	702960.371555
2023-08-11	870236.918913
2023-08-10	894353.273736
2023-08-09	1006819.333591
2023-08-08	979698.540319
2023-08-07	988019.657546
2023-08-06	546925.960487
2023-08-05	554253.562182
2023-08-04	926703.395849
2023-08-03	891311.088837
2023-08-02	1127456.623484
2023-08-01	1317106.749873
2023-07-31	1172195.777091
2023-07-30	672095.046418
2023-07-29	498510.954533
2023-07-28	969010.977329
2023-07-27	777468.814144
2023-07-26	1195825.407132
2023-07-25	1114544.806563
2023-07-24	1082676.668887
2023-07-23	604579.553416
2023-07-22	675245.998478
2023-07-21	1188996.434621
2023-07-20	1063725.080332
2023-07-19	1196328.233562
2023-07-18	1327234.747265
2023-07-17	1123663.246337
2023-07-16	543925.761631
2023-07-15	744541.900965
2023-07-14	1548318.531225
2023-07-13	1803717.770632
2023-07-12	1080476.168586
2023-07-11	910936.387027
2023-07-10	926487.554354
2023-07-09	570556.230324
2023-07-08	712127.773976
2023-07-07	1173364.291043
2023-07-06	1043609.361535
2023-07-05	923268.115214
2023-07-04	871749.681698
2023-07-03	1234504.501535
2023-07-02	675012.633495
2023-07-01	640696.854262
2023-06-30	1859501.7362
2023-06-29	1223090.743319
2023-06-28	1593940.020296
2023-06-27	1396936.212491
2023-06-26	1532463.232083
2023-06-25	881755.962146
2023-06-24	836314.070247
2023-06-23	1166732.768608
2023-06-22	1852613.546073
2023-06-21	2020519.059795
2023-06-20	1365717.197873
2023-06-19	975736.291625
2023-06-18	571194.550566
2023-06-17	886255.779584
2023-06-16	1434750.562899
2023-06-15	1579854.1511
2023-06-14	1840591.351531
2023-06-13	1398008.01993
2023-06-12	1603254.848926
2023-06-11	708912.271994
2023-06-10	1608225.60823
2023-06-09	969836.057268
2023-06-08	1453159.986378
2023-06-07	2074491.194459
2023-06-06	2153154.101466
2023-06-05	2864685.733042
2023-06-04	624501.499595
2023-06-03	742602.606829
2023-06-02	1517607.20227
2023-06-01	1842627.582016
2023-05-31	1728960.393589
2023-05-30	1142896.609498
2023-05-29	1280297.257002
2023-05-28	892655.591891
2023-05-27	798131.545818
2023-05-26	1585645.591548
2023-05-25	1015303.18899
2023-05-24	1279522.75964
2023-05-23	1460320.527991
2023-05-22	1071829.467943
2023-05-21	810432.72217
2023-05-20	731160.258322
2023-05-19	1126186.08919
2023-05-18	1092847.461044
2023-05-17	1223904.742597
2023-05-16	1240240.511157
2023-05-15	1335826.817202
2023-05-14	641801.998632
2023-05-13	751218.691332
2023-05-12	1922397.744759
2023-05-11	1722819.385217
2023-05-10	2153824.75386
2023-05-09	1479337.157734
2023-05-08	1681318.268168
2023-05-07	941682.949557
2023-05-06	1885384.079916
2023-05-05	1775442.781723
2023-05-04	1470157.214713
2023-05-03	1220641.280515
2023-05-02	1369666.937556
2023-05-01	2542198.16513
2023-04-30	781623.663395
2023-04-29	675303.935105
2023-04-28	1194147.911184
2023-04-27	1630388.797151
2023-04-26	1712641.664523
2023-04-25	1416222.288272
2023-04-24	1238220.055627
2023-04-23	867438.202128
2023-04-22	881083.659318
2023-04-21	2048854.619352
2023-04-20	1991565.169553
2023-04-19	2283701.207026
2023-04-18	1406684.373995
2023-04-17	1335513.761967
2023-04-16	960145.394417
2023-04-15	817322.990203
2023-04-14	2075047.807965
2023-04-13	1747993.627364
2023-04-12	1774533.194672
2023-04-11	1142772.838662
2023-04-10	1033232.019198
2023-04-09	570650.380672
2023-04-08	617080.670139
2023-04-07	732041.031287
2023-04-06	1188599.784127
2023-04-05	1932071.90118
2023-04-04	1438259.879295
2023-04-03	1561855.862477
2023-04-02	645276.412673
2023-04-01	781642.114606
2023-03-31	1781237.782765
2023-03-30	1090853.09915
2023-03-29	1339399.65245
2023-03-28	1313518.995312
2023-03-27	1473780.217376
2023-03-26	686174.833696
2023-03-25	886053.846839
2023-03-24	1651209.624266
2023-03-23	1736678.221274
2023-03-22	2633599.134491
2023-03-21	1383911.273283
2023-03-20	1639140.40317
2023-03-19	957600.963031
2023-03-18	1620864.169063
2023-03-17	1792891.224868
2023-03-16	1362258.970984
2023-03-15	2260952.79356
2023-03-14	2604500.385267
2023-03-13	2749285.205871
2023-03-12	2003392.806679
2023-03-11	4436920.515273
2023-03-10	2093762.637165
2023-03-09	1483964.038865
2023-03-08	1266331.902268
2023-03-07	1051778.957146
2023-03-06	1238545.344569
2023-03-05	569522.97695
2023-03-04	681821.356158
2023-03-03	1433798.396758
2023-03-02	1080449.023775
2023-03-01	1176454.379163
2023-02-28	1120156.295321
2023-02-27	1523773.595523
2023-02-26	846652.844519
2023-02-25	781301.760702
2023-02-24	1264084.611199
2023-02-23	1152922.014843
2023-02-22	1470889.792857
2023-02-21	1244377.311219
2023-02-20	1139904.807023
2023-02-19	778369.991788
2023-02-18	807617.499636
2023-02-17	1014053.723842
2023-02-16	1705574.250469
2023-02-15	1622561.580603
2023-02-14	1474538.564178
2023-02-13	1666840.266976
2023-02-12	606973.866818
2023-02-11	892106.617534
2023-02-10	2324470.963235
2023-02-09	1508373.680069
2023-02-08	1443374.838099
2023-02-07	1250754.532114
2023-02-06	1022581.797333
2023-02-05	790605.476474
2023-02-04	916575.568209
2023-02-03	1367440.377988
2023-02-02	1590589.276451
2023-02-01	1243786.300262
2023-01-31	1166811.154332
2023-01-30	1607747.737469
2023-01-29	803080.02923
2023-01-28	807828.20795
2023-01-27	1159926.586308
2023-01-26	934195.975216
2023-01-25	1697934.025709
2023-01-24	1374323.077864
2023-01-23	1191568.776404
2023-01-22	723681.166356
2023-01-21	1072066.02286
2023-01-20	1374743.859857
2023-01-19	1328819.410794
2023-01-18	1592760.262353
