date	total_transaction_volume
2024-04-03	56526692.731897112
2024-04-02	67527247.16507313
2024-04-01	103523306.291294722
2024-03-31	69673987.465929669
2024-03-30	54783319.424531432
2024-03-29	76843867.641447508
2024-03-28	80745630.796368466
2024-03-27	89967877.978976959
2024-03-26	88694469.062794024
2024-03-25	87609447.086214917
2024-03-24	60131448.565839494
2024-03-23	55504998.761820916
2024-03-22	49915763.920706564
2024-03-21	64877361.974602345
2024-03-20	92937183.752489821
2024-03-19	92867424.337049511
2024-03-18	72264722.723902803
2024-03-17	81396779.201702252
2024-03-16	97846689.217718625
2024-03-15	117143719.863104
2024-03-14	101977468.079477706
2024-03-13	120551193.955032449
2024-03-12	111362910.964685084
2024-03-11	92250003.893947474
2024-03-10	137635103.108488655
2024-03-09	69879438.59961523
2024-03-08	91768294.556648281
2024-03-07	114340015.904527976
2024-03-06	115510971.312986831
2024-03-05	134146118.327682381
2024-03-04	111024789.778839303
2024-03-03	70818067.089219124
2024-03-02	89488283.370473154
2024-03-01	82168485.202370345
2024-02-29	106829800.19718647
2024-02-28	113444629.531742363
2024-02-27	109751672.851789489
2024-02-26	106440716.956646373
2024-02-25	69685553.98806784
2024-02-24	90840848.575400206
2024-02-23	87714623.688867534
2024-02-22	92152731.802222572
2024-02-21	116496164.42619889
2024-02-20	75761966.802566463
2024-02-19	87799720.76129224
2024-02-18	61687522.912464715
2024-02-17	79014711.991908834
2024-02-16	104310816.36965319
2024-02-15	82578940.525541463
2024-02-14	74444310.36409593
2024-02-13	59374336.500264856
2024-02-12	88335092.353111874
2024-02-11	47640751.653514148
2024-02-10	41706933.109153748
2024-02-09	40722777.388115838
2024-02-08	55057985.986195339
2024-02-07	61249905.533197112
2024-02-06	47806305.402190983
2024-02-05	49166908.478191253
2024-02-04	40490450.819812654
2024-02-03	45052384.165510408
2024-02-02	51054764.582497297
2024-02-01	56249701.897646307
2024-01-31	80131214.815358416
2024-01-30	50283880.952919481
2024-01-29	44504724.406796756
2024-01-28	55003652.59500069
2024-01-27	54563964.813835863
2024-01-26	66507210.139387339
2024-01-25	51371006.59108831
2024-01-24	54954270.833825834
2024-01-23	71656499.452143526
2024-01-22	73041740.972332074
2024-01-21	86190262.403861053
2024-01-20	63273362.99081687
2024-01-19	85236661.527014849
2024-01-18	96092070.606623205
2024-01-17	80198599.359938324
2024-01-16	75968115.493813557
2024-01-15	85841402.52516966
2024-01-14	48382915.093011336
2024-01-13	61628712.069421598
2024-01-12	101587324.529601694
2024-01-11	147412167.709648522
2024-01-10	101055561.495243198
2024-01-09	81035984.388163174
2024-01-08	120524595.678300972
2024-01-07	84972287.836609439
2024-01-06	52736588.551514641
2024-01-05	75406379.932627226
2024-01-04	114649217.807843981
2024-01-03	175817514.420666044
2024-01-02	100866999.270752542
2024-01-01	59831871.560524016
2023-12-31	152992863.340410227
2023-12-30	80703172.857892847
2023-12-29	118577408.950302943
2023-12-28	119081889.600946524
2023-12-27	194399728.067769448
2023-12-26	193315717.492736321
2023-12-25	86420937.635450378
2023-12-24	106486467.956279402
2023-12-23	87666889.011456335
2023-12-22	117609094.925301127
2023-12-21	120061404.257796295
2023-12-20	141318192.005833309
2023-12-19	150514098.025072962
2023-12-18	139770352.556183156
2023-12-17	83323336.834849412
2023-12-16	64014576.383503736
2023-12-15	65195538.618409385
2023-12-14	103515794.791867867
2023-12-13	95423016.452357344
2023-12-12	111751037.607950724
2023-12-11	87895984.729101609
2023-12-10	61595037.9897549
2023-12-09	103503909.018567091
2023-12-08	80129336.409787132
2023-12-07	80357295.279682757
2023-12-06	75510637.306682921
2023-12-05	62816453.220729726
2023-12-04	89992595.759014594
2023-12-03	60807683.706071707
2023-12-02	57109867.208184287
2023-12-01	68034499.341963954
2023-11-30	81494046.275934122
2023-11-29	62037830.588777577
2023-11-28	59791864.511628333
2023-11-27	48252309.025071862
2023-11-26	47814010.751796824
2023-11-25	84819616.003105135
2023-11-24	59534146.284811373
2023-11-23	59295113.355776028
2023-11-22	74929660.627813882
2023-11-21	130140002.941696011
2023-11-20	83813512.972995548
2023-11-19	49084043.946084985
2023-11-18	58658248.776845444
2023-11-17	98736762.201508122
2023-11-16	104283539.018433296
2023-11-15	102709184.418615901
2023-11-14	125854323.504567742
2023-11-13	122792614.914526444
2023-11-12	112042386.881149896
2023-11-11	79277892.425130494
2023-11-10	75834852.768679675
2023-11-09	103355473.802912462
2023-11-08	84647154.882189221
2023-11-07	66029539.300705945
2023-11-06	57560533.228225853
2023-11-05	42059458.475055987
2023-11-04	37676750.635758338
2023-11-03	48431625.513661161
2023-11-02	54191458.30979393
2023-11-01	88016060.847613955
2023-10-31	59273538.086740752
2023-10-30	45227348.73817896
2023-10-29	38214691.015128354
2023-10-28	40760302.951857983
2023-10-27	68044636.555736133
2023-10-26	87160309.577804399
2023-10-25	57514180.40321882
2023-10-24	68742995.73688835
2023-10-23	77004162.363178467
2023-10-22	70778696.968900337
2023-10-21	64516480.749286479
2023-10-20	61576865.35588354
2023-10-19	52484764.379096276
2023-10-18	46320942.217421645
2023-10-17	45159335.786624402
2023-10-16	59246859.16816857
2023-10-15	28382824.899973926
2023-10-14	30566064.339109291
2023-10-13	26257283.010728116
2023-10-12	48310648.591750495
2023-10-11	49926374.154764927
2023-10-10	40999280.243560814
2023-10-09	44370744.976975752
2023-10-08	34539335.850215126
2023-10-07	42944972.740974519
2023-10-06	37641777.198339181
2023-10-05	43108247.831229677
2023-10-04	55798167.500212126
2023-10-03	87823394.735476687
2023-10-02	47065523.062925984
2023-10-01	64852399.203649322
2023-09-30	41822364.601874547
2023-09-29	47174956.484029199
2023-09-28	50984827.817255586
2023-09-27	54711732.667751533
2023-09-26	45233990.627410949
2023-09-25	35045884.537457416
2023-09-24	29022069.493122212
2023-09-23	24978546.442803009
2023-09-22	35121807.211735087
2023-09-21	37288649.782513458
2023-09-20	35016278.536589196
2023-09-19	43921792.004172072
2023-09-18	38442629.976502251
2023-09-17	32195188.923080007
2023-09-16	34061020.172582374
2023-09-15	40260481.610623468
2023-09-14	42603264.908946149
2023-09-13	38825059.37785587
2023-09-12	48611605.24900985
2023-09-11	55102244.574385748
2023-09-10	37513808.353578469
2023-09-09	24639476.263074555
2023-09-08	50371655.819566368
2023-09-07	55517053.117519267
2023-09-06	62664059.591815286
2023-09-05	39214026.157820256
2023-09-04	71967139.703002387
2023-09-03	30469019.034961222
2023-09-02	74663568.355961447
2023-09-01	35665759.007874826
2023-08-31	57408701.53922195
2023-08-30	93963224.664425305
2023-08-29	58899990.253093507
2023-08-28	68058986.580015106
2023-08-27	23066216.242180796
2023-08-26	28244902.054423465
2023-08-25	38348357.920473608
2023-08-24	39121291.45098712
2023-08-23	46204900.572265155
2023-08-22	100744946.668406495
2023-08-21	51263745.202156479
2023-08-20	38801928.332563909
2023-08-19	39307215.864897583
2023-08-18	61795328.24973954
2023-08-17	69462317.597854239
2023-08-16	52934644.071176431
2023-08-15	51919733.201825026
2023-08-14	38105943.463322072
