date	num_transactions
2024-04-02	440877
2024-04-01	21273
2024-03-31	20728
2024-03-30	30397
2024-03-29	57812
2024-03-28	223328
2024-03-27	279038
2024-03-26	173935
2024-03-25	144417
2024-03-24	50741
2024-03-23	44348
2024-03-22	54535
2024-03-21	72808
2024-03-20	125903
2024-03-19	74884
2024-03-18	18151
2024-03-17	42511
2024-03-16	28696
2024-03-15	24931
2024-03-14	52335
2024-03-13	112553
2024-03-12	21832
2024-03-11	16209
2024-03-10	17268
2024-03-09	16935
2024-03-08	159779
2024-03-07	32744
2024-03-06	18070
2024-03-05	20630
2024-03-04	19208
2024-03-03	22049
2024-03-02	29511
2024-03-01	20034
2024-02-29	20311
2024-02-28	355554
2024-02-27	18431
2024-02-26	15440
2024-02-25	14306
2024-02-24	13882
2024-02-23	13875
2024-02-22	14481
2024-02-21	116441
2024-02-20	119608
2024-02-19	113015
2024-02-18	71387
2024-02-17	15021
2024-02-16	206919
2024-02-15	51553
2024-02-14	51052
2024-02-13	147701
2024-02-12	41216
2024-02-11	76587
2024-02-10	15185
2024-02-09	254929
2024-02-08	139046
2024-02-07	18204
2024-02-06	19069
2024-02-05	17613
2024-02-04	77651
2024-02-03	21026
2024-02-02	90791
2024-02-01	20472
2024-01-31	252129
2024-01-30	187787
2024-01-29	116757
2024-01-28	16625
2024-01-27	18334
2024-01-26	39893
2024-01-25	91682
2024-01-24	284319
2024-01-23	116929
2024-01-22	46801
2024-01-21	52917
2024-01-20	38746
2024-01-19	29991
2024-01-18	16393
2024-01-17	13469
2024-01-16	22966
2024-01-15	20594
2024-01-14	14144
2024-01-13	21374
2024-01-12	26770
2024-01-11	70497
2024-01-10	308648
2024-01-09	21998
2024-01-08	66743
2024-01-07	14885
2024-01-06	15185
2024-01-05	100303
2024-01-04	109534
2024-01-03	166866
2024-01-02	45379
2024-01-01	14473
2023-12-31	21219
2023-12-30	26029
2023-12-29	26818
2023-12-28	35502
2023-12-27	35991
2023-12-26	32394
2023-12-25	36989
2023-12-24	36398
2023-12-23	32776
2023-12-22	80512
2023-12-21	33031
2023-12-20	27862
2023-12-19	26782
2023-12-18	222585
2023-12-17	30927
2023-12-16	25060
2023-12-15	111492
2023-12-14	117258
2023-12-13	173582
2023-12-12	157984
2023-12-11	141455
2023-12-10	60127
2023-12-09	17161
2023-12-08	185711
2023-12-07	110601
2023-12-06	70388
2023-12-05	88067
2023-12-04	144282
2023-12-03	44713
2023-12-02	14159
2023-12-01	178692
2023-11-30	95217
2023-11-29	123788
2023-11-28	14814
2023-11-27	13969
2023-11-26	12403
2023-11-25	18884
2023-11-24	20568
2023-11-23	14173
2023-11-22	14468
2023-11-21	14060
2023-11-20	13192
2023-11-19	12584
2023-11-18	13288
2023-11-17	151616
2023-11-16	17565
2023-11-15	17778
2023-11-14	303373
2023-11-13	38097
2023-11-12	66172
2023-11-11	49074
2023-11-10	166910
2023-11-09	131292
2023-11-08	36264
2023-11-07	110043
2023-11-06	12292
2023-11-05	12525
2023-11-04	12799
2023-11-03	16819
2023-11-02	114818
2023-11-01	141273
2023-10-31	13095
2023-10-30	11747
2023-10-29	11173
2023-10-28	12133
2023-10-27	92496
2023-10-26	263492
2023-10-25	289430
2023-10-24	96700
2023-10-23	111011
2023-10-22	11213
2023-10-21	13075
2023-10-20	13660
2023-10-19	136656
2023-10-18	12181
2023-10-17	14169
2023-10-16	13879
2023-10-15	12205
2023-10-14	12633
2023-10-13	264914
2023-10-12	207129
2023-10-11	253593
2023-10-10	66069
2023-10-09	217995
2023-10-08	21000
2023-10-07	11136
2023-10-06	136647
2023-10-05	16677
2023-10-04	396342
2023-10-03	143930
2023-10-02	14024
2023-10-01	11750
2023-09-30	127574
2023-09-29	144758
2023-09-28	137383
2023-09-27	98736
2023-09-26	84120
2023-09-25	11654
2023-09-24	10143
2023-09-23	11735
2023-09-22	23683
2023-09-21	14256
2023-09-20	56427
2023-09-19	54189
2023-09-18	120184
2023-09-17	10983
2023-09-16	14817
2023-09-15	106208
2023-09-14	113622
2023-09-13	111346
2023-09-12	202066
2023-09-11	87853
2023-09-10	13524
2023-09-09	61493
2023-09-08	95538
2023-09-07	83355
2023-09-06	42407
2023-09-05	13409
2023-09-04	12488
2023-09-03	11688
2023-09-02	13181
2023-09-01	44251
2023-08-31	26192
2023-08-30	38576
2023-08-29	28142
2023-08-28	15847
2023-08-27	16686
2023-08-26	15495
2023-08-25	17980
2023-08-24	17417
2023-08-23	19323
2023-08-22	19625
2023-08-21	15688
2023-08-20	21815
2023-08-19	28356
2023-08-18	100393
2023-08-17	109536
2023-08-16	137005
2023-08-15	230665
2023-08-14	46629
2023-08-13	38969
2023-08-12	16199
2023-08-11	239197
2023-08-10	113478
2023-08-09	147531
2023-08-08	44143
2023-08-07	22658
2023-08-06	21270
2023-08-05	14701
2023-08-04	37834
2023-08-03	50102
2023-08-02	89898
2023-08-01	33178
2023-07-31	71729
2023-07-30	21180
2023-07-29	46529
2023-07-28	40719
2023-07-27	128857
2023-07-26	31747
2023-07-25	59297
2023-07-24	119223
2023-07-23	16162
2023-07-22	14553
2023-07-21	112412
2023-07-20	68497
2023-07-19	13021
2023-07-18	14126
2023-07-17	13040
2023-07-16	12778
2023-07-15	13597
2023-07-14	14156
2023-07-13	12859
2023-07-12	12727
2023-07-11	12152
2023-07-10	12685
2023-07-09	11011
2023-07-08	11880
2023-07-07	13869
2023-07-06	33420
2023-07-05	32853
2023-07-04	31966
2023-07-03	18894
2023-07-02	14583
2023-07-01	17114
2023-06-30	28513
2023-06-29	24203
2023-06-28	16997
2023-06-27	19414
2023-06-26	32959
2023-06-25	15500
2023-06-24	18152
2023-06-23	152955
2023-06-22	14414
2023-06-21	17316
2023-06-20	37680
2023-06-19	11926
2023-06-18	21036
2023-06-17	50949
2023-06-16	60916
2023-06-15	108791
2023-06-14	68763
2023-06-13	25251
2023-06-12	19324
2023-06-11	40687
2023-06-10	13639
2023-06-09	50490
2023-06-08	135734
2023-06-07	13878
2023-06-06	17950
2023-06-05	27227
2023-06-04	23208
2023-06-03	21443
2023-06-02	249755
2023-06-01	99379
2023-05-31	37033
2023-05-30	98637
2023-05-29	17375
2023-05-28	20616
2023-05-27	26820
2023-05-26	44714
2023-05-25	30437
2023-05-24	174335
2023-05-23	90513
2023-05-22	102694
2023-05-21	27301
2023-05-20	21715
2023-05-19	16401
2023-05-18	18800
2023-05-17	14382
2023-05-16	128938
2023-05-15	34730
2023-05-14	15503
2023-05-13	10895
2023-05-12	123991
2023-05-11	47328
2023-05-10	26229
2023-05-09	14632
2023-05-08	34757
2023-05-07	9022
2023-05-06	11141
2023-05-05	110659
2023-05-04	12855
2023-05-03	12137
2023-05-02	11302
2023-05-01	12080
2023-04-30	11559
2023-04-29	9420
2023-04-28	11122
2023-04-27	11364
2023-04-26	11710
2023-04-25	13191
2023-04-24	10246
2023-04-23	9001
2023-04-22	10920
2023-04-21	9877
2023-04-20	10594
2023-04-19	9910
2023-04-18	9914
2023-04-17	11820
2023-04-16	8872
2023-04-15	10328
2023-04-14	10938
2023-04-13	11290
2023-04-12	11292
2023-04-11	11068
2023-04-10	9460
2023-04-09	9462
2023-04-08	10465
2023-04-07	10114
2023-04-06	10007
2023-04-05	11602
2023-04-04	11836
2023-04-03	10955
2023-04-02	11935
2023-04-01	11950
2023-03-31	13583
2023-03-30	108408
2023-03-29	11256
2023-03-28	11782
2023-03-27	10974
2023-03-26	9781
2023-03-25	11986
2023-03-24	10337
2023-03-23	10056
2023-03-22	45512
2023-03-21	13684
2023-03-20	9866
2023-03-19	163890
2023-03-18	92359
2023-03-17	11613
2023-03-16	11469
2023-03-15	12132
2023-03-14	158507
2023-03-13	42895
2023-03-12	10989
2023-03-11	11884
2023-03-10	12325
2023-03-09	12303
2023-03-08	11969
2023-03-07	11667
2023-03-06	10326
2023-03-05	9710
2023-03-04	11533
2023-03-03	14430
2023-03-02	16398
2023-03-01	11968
2023-02-28	16064
2023-02-27	23876
2023-02-26	12287
2023-02-25	10834
2023-02-24	11236
2023-02-23	13279
2023-02-22	11421
2023-02-21	12949
2023-02-20	10453
2023-02-19	9632
2023-02-18	10026
2023-02-17	11127
2023-02-16	12685
2023-02-15	16007
2023-02-14	13367
2023-02-13	12144
2023-02-12	11165
2023-02-11	13057
2023-02-10	13388
2023-02-09	13482
2023-02-08	10567
2023-02-07	12061
2023-02-06	11551
2023-02-05	11016
2023-02-04	11532
2023-02-03	11986
2023-02-02	20685
2023-02-01	11780
2023-01-31	12110
2023-01-30	10745
2023-01-29	9500
2023-01-28	9925
2023-01-27	12057
2023-01-26	16271
2023-01-25	9513
2023-01-24	11230
2023-01-23	11082
2023-01-22	10737
2023-01-21	12001
2023-01-20	10866
2023-01-19	10798
2023-01-18	11214
2023-01-17	11997
2023-01-16	9742
2023-01-15	10031
2023-01-14	11268
2023-01-13	11707
2023-01-12	13491
2023-01-11	13849
2023-01-10	14863
2023-01-09	14915
2023-01-08	11317
2023-01-07	10242
2023-01-06	13000
2023-01-05	11110
2023-01-04	15019
2023-01-03	15905
2023-01-02	12691
2023-01-01	12371
2022-12-31	14100
2022-12-30	14605
2022-12-29	10757
2022-12-28	13639
2022-12-27	12293
2022-12-26	11629
2022-12-25	12116
2022-12-24	10633
2022-12-23	9992
2022-12-22	10935
2022-12-21	11535
2022-12-20	14938
2022-12-19	15670
2022-12-18	12830
2022-12-17	14825
2022-12-16	13553
2022-12-15	15132
2022-12-14	13505
2022-12-13	16744
2022-12-12	14614
2022-12-11	16160
2022-12-10	15956
2022-12-09	31141
2022-12-08	22851
2022-12-07	16797
2022-12-06	29244
2022-12-05	23314
2022-12-04	22062
2022-12-03	30324
2022-12-02	25966
2022-12-01	13995
2022-11-30	13968
2022-11-29	12803
2022-11-28	14759
2022-11-27	13500
2022-11-26	14824
2022-11-25	19975
2022-11-24	18045
2022-11-23	18348
2022-11-22	15538
2022-11-21	14273
2022-11-20	15197
2022-11-19	14101
2022-11-18	18216
2022-11-17	22352
2022-11-16	20347
2022-11-15	16507
2022-11-14	13913
2022-11-13	16063
2022-11-12	17146
2022-11-11	24001
2022-11-10	15926
2022-11-09	17006
2022-11-08	19623
2022-11-07	17078
2022-11-06	13964
2022-11-05	16019
2022-11-04	21229
2022-11-03	19582
2022-11-02	20157
2022-11-01	20887
2022-10-31	18164
2022-10-30	18366
2022-10-29	18385
2022-10-28	19013
2022-10-27	19980
2022-10-26	25196
2022-10-25	19979
2022-10-24	18300
2022-10-23	17615
2022-10-22	17370
2022-10-21	19182
2022-10-20	18168
2022-10-19	19084
2022-10-18	22606
2022-10-17	23537
2022-10-16	22368
2022-10-15	22021
2022-10-14	24290
2022-10-13	22075
2022-10-12	23771
2022-10-11	22168
2022-10-10	22344
2022-10-09	23508
2022-10-08	24265
2022-10-07	24406
2022-10-06	22425
2022-10-05	24296
2022-10-04	25625
2022-10-03	20059
2022-10-02	19653
2022-10-01	19746
2022-09-30	26252
2022-09-29	26997
2022-09-28	24962
2022-09-27	21955
2022-09-26	20004
2022-09-25	19709
2022-09-24	22186
2022-09-23	23644
2022-09-22	25106
2022-09-21	22698
2022-09-20	24532
2022-09-19	22855
2022-09-18	21992
2022-09-17	22772
2022-09-16	24748
2022-09-15	23353
2022-09-14	23985
2022-09-13	23845
2022-09-12	23676
2022-09-11	22608
2022-09-10	24074
2022-09-09	25264
2022-09-08	24341
2022-09-07	23724
2022-09-06	25084
2022-09-05	23102
2022-09-04	21518
2022-09-03	23170
2022-09-02	25177
2022-09-01	24757
2022-08-31	24399
2022-08-30	27725
2022-08-29	30904
2022-08-28	29888
2022-08-27	32009
2022-08-26	33299
2022-08-25	32191
2022-08-24	32870
2022-08-23	33984
2022-08-22	31441
2022-08-21	32492
2022-08-20	33561
2022-08-19	34726
2022-08-18	32980
2022-08-17	34302
2022-08-16	34434
2022-08-15	33219
2022-08-14	32407
2022-08-13	31430
2022-08-12	32055
2022-08-11	30841
2022-08-10	31168
2022-08-09	31485
2022-08-08	32501
2022-08-07	30600
2022-08-06	30976
2022-08-05	30813
2022-08-04	30557
2022-08-03	29500
2022-08-02	32737
2022-08-01	31639
2022-07-31	30726
2022-07-30	31186
2022-07-29	34637
2022-07-28	34727
2022-07-27	31662
2022-07-26	33182
2022-07-25	31734
2022-07-24	30697
2022-07-23	31756
2022-07-22	33668
2022-07-21	31225
2022-07-20	32199
2022-07-19	33477
2022-07-18	29763
2022-07-17	28923
2022-07-16	28628
2022-07-15	29168
2022-07-14	34093
2022-07-13	42208
2022-07-12	33607
2022-07-11	34214
2022-07-10	27751
2022-07-09	30243
2022-07-08	28517
2022-07-07	33570
2022-07-06	28911
2022-07-05	31258
2022-07-04	31349
