date	num_transactions
2024-04-03	124604
2024-04-02	202877
2024-04-01	359082
2024-03-31	314555
2024-03-30	349458
2024-03-29	373272
2024-03-28	487185
2024-03-05	130308
2024-03-04	1981191
2024-03-03	1784528
2024-03-02	1133678
2024-03-01	1873942
2024-02-29	1757324
2024-02-28	1662940
2024-02-27	1732018
2024-02-26	1852966
2024-02-25	1831473
2024-02-24	1820431
2024-02-23	1706589
2024-02-22	1709524
2024-02-21	1602945
2024-02-20	1494555
2024-02-19	1565498
2024-02-18	1613611
2024-02-17	1532313
2024-02-16	1377714
2024-02-15	1128635
2024-02-14	1232977
2024-02-13	1693264
2024-02-12	1310441
2024-02-11	1584904
2024-02-10	1784450
2024-02-09	1894994
2024-02-08	1853176
2024-02-07	1934967
2024-02-06	1725834
2024-02-05	1661535
2024-02-04	1753807
2024-02-03	1581661
2024-02-02	1800707
2024-02-01	1892415
2024-01-31	1330997
2024-01-30	1035688
2024-01-29	956560
2024-01-28	843089
2024-01-27	658934
2024-01-26	1073397
2024-01-25	1060217
2024-01-24	918384
2024-01-23	452920
2024-01-22	265018
2024-01-21	417670
2024-01-20	92269
2024-01-19	128541
2024-01-18	97181
2024-01-17	123119
2024-01-16	99173
2024-01-15	106679
2024-01-14	91605
2024-01-13	95556
2024-01-12	270849
2024-01-11	177354
2024-01-10	228707
2024-01-09	175503
2024-01-08	113759
2024-01-07	331811
2024-01-06	1027824
2024-01-05	1056675
2024-01-04	936770
2024-01-03	778803
2024-01-02	811465
2024-01-01	594877
2023-12-31	489151
2023-12-30	759987
2023-12-29	742593
2023-12-28	960944
2023-12-27	926448
2023-12-26	862998
2023-12-25	1074767
2023-12-24	1097296
2023-12-23	1192549
2023-12-22	1260854
2023-12-21	1087337
2023-12-20	874601
2023-12-19	1307156
2023-12-18	1271591
2023-12-17	1302182
2023-12-16	1290851
2023-12-15	1081652
2023-12-14	1078294
2023-12-13	738001
2023-12-12	616481
2023-12-11	820481
2023-12-10	1221510
2023-12-09	1417867
2023-12-08	1496581
2023-12-07	875363
2023-12-06	546334
2023-12-05	504469
2023-12-04	1457973
2023-12-03	1303974
2023-12-02	525825
2023-12-01	800920
2023-11-30	897283
2023-11-29	952196
2023-11-28	1242433
2023-11-27	1627540
2023-11-26	1703687
2023-11-25	1296191
2023-11-24	1047270
2023-11-23	1071829
2023-11-22	917085
2023-11-21	470142
2023-11-20	489626
2023-11-19	580055
2023-11-18	359725
2023-11-17	180622
2023-11-16	129654
2023-11-15	205887
2023-11-14	175929
2023-11-13	122755
2023-11-12	263601
2023-11-11	233003
2023-11-10	160804
2023-11-09	130845
2023-11-08	307811
2023-11-07	190973
2023-11-06	105514
2023-11-05	64213
2023-11-04	34908
2023-11-03	30532
2023-11-02	28384
2023-11-01	29932
2023-10-31	28163
2023-10-30	33605
2023-10-29	61116
2023-10-28	24417
2023-10-27	28491
2023-10-26	43681
2023-10-25	28069
2023-10-24	29325
2023-10-23	33608
2023-10-22	35446
2023-10-21	50808
2023-10-20	59234
2023-10-19	32976
2023-10-18	45626
2023-10-17	36526
2023-10-16	31446
2023-10-15	33645
2023-10-14	23671
2023-10-13	30017
2023-10-12	28991
2023-10-11	36602
2023-10-10	29018
2023-10-09	31803
2023-10-08	48406
2023-10-07	38078
2023-10-06	42723
