date	num_transactions
2024-04-03	3670035
2024-04-02	4050762
2024-04-01	4002785
2024-03-31	3921750
2024-03-30	4148868
2024-03-29	4415368
2024-03-28	4597859
2024-03-27	4582616
2024-03-26	4652410
2024-03-25	4413871
2024-03-24	4194562
2024-03-23	4251460
2024-03-22	4509319
2024-03-21	4432849
2024-03-20	4498076
2024-03-19	4642536
2024-03-18	4517304
2024-03-17	4236424
2024-03-16	4711774
2024-03-15	4853697
2024-03-14	4664963
2024-03-13	4874669
2024-03-12	4884933
2024-03-11	5118075
2024-03-10	4973232
2024-03-09	4796452
2024-03-08	5066547
2024-03-07	5056520
2024-03-06	4727727
2024-03-05	4563322
2024-03-04	4635025
2024-03-03	4551154
2024-03-02	4661782
2024-03-01	4579686
2024-02-29	4669851
2024-02-28	4503888
2024-02-27	4436902
2024-02-26	4466849
2024-02-25	4190137
2024-02-24	4210721
2024-02-23	4232386
2024-02-22	4475630
2024-02-21	4461661
2024-02-20	4135791
2024-02-19	4242914
2024-02-18	3946339
2024-02-17	3763554
2024-02-16	3884767
2024-02-15	3894882
2024-02-14	3855202
2024-02-13	3701269
2024-02-12	3592372
2024-02-11	3438115
2024-02-10	3406490
2024-02-09	3567163
2024-02-08	3604597
2024-02-07	3516137
2024-02-06	3580425
2024-02-05	3644356
2024-02-04	3292856
2024-02-03	3404880
2024-02-02	3408284
2024-02-01	3509414
2024-01-31	3416184
2024-01-30	3515883
2024-01-29	3468587
2024-01-28	3109010
2024-01-27	3202058
2024-01-26	3315370
2024-01-25	3322108
2024-01-24	3328762
2024-01-23	3290597
2024-01-22	3490538
2024-01-21	3073884
2024-01-20	3130483
2024-01-19	3600277
2024-01-18	3405947
2024-01-17	3346018
2024-01-16	3351331
2024-01-15	3295568
2024-01-14	2923707
2024-01-13	3060409
2024-01-12	3356772
2024-01-11	3498530
2024-01-10	3416877
2024-01-09	3394681
2024-01-08	3263058
2024-01-07	3107266
2024-01-06	3253864
2024-01-05	3446044
2024-01-04	3590581
2024-01-03	3916286
2024-01-02	3730634
2024-01-01	3059676
2023-12-31	3930470
2023-12-30	4621987
2023-12-29	4526832
2023-12-28	4483876
2023-12-27	4097995
2023-12-26	3944754
2023-12-25	3752421
2023-12-24	4728701
2023-12-23	5212619
2023-12-22	5368974
2023-12-21	6614851
2023-12-20	8009249
2023-12-19	4903705
2023-12-18	3483495
2023-12-17	3780911
2023-12-16	4190261
2023-12-15	6162645
2023-12-14	8082825
2023-12-13	9483888
2023-12-12	7777804
2023-12-11	5623556
2023-12-10	5122122
2023-12-09	5332236
2023-12-08	13603659
2023-12-07	10463616
2023-12-06	7941903
2023-12-05	5662922
2023-12-04	6046915
2023-12-03	6240264
2023-12-02	4745575
2023-12-01	5335008
2023-11-30	15068285
2023-11-29	11433069
2023-11-28	10702945
2023-11-27	8224510
2023-11-26	7027954
2023-11-25	5114850
2023-11-24	16229568
2023-11-23	7871228
2023-11-22	2694721
2023-11-21	2750052
2023-11-20	3298554
2023-11-19	3709501
2023-11-18	3242239
2023-11-17	7473473
2023-11-16	16449264
2023-11-15	6171964
2023-11-14	2892351
2023-11-13	2859740
2023-11-12	2508647
2023-11-11	2351770
2023-11-10	2274095
2023-11-09	2466033
2023-11-08	2311451
2023-11-07	2425689
2023-11-06	2454958
2023-11-05	2208786
2023-11-04	2189368
2023-11-03	2364148
2023-11-02	2692789
2023-11-01	2621386
2023-10-31	2488509
2023-10-30	2330574
2023-10-29	2083751
2023-10-28	2012393
2023-10-27	2218548
2023-10-26	2392321
2023-10-25	2369681
2023-10-24	2523623
2023-10-23	2523330
2023-10-22	2517907
2023-10-21	2648707
2023-10-20	2427074
2023-10-19	2458143
2023-10-18	2329347
2023-10-17	2404413
2023-10-16	2348764
2023-10-15	2278429
2023-10-14	2356532
2023-10-13	2477447
2023-10-12	2592924
2023-10-11	2544895
2023-10-10	2117899
2023-10-09	2158221
2023-10-08	2037330
2023-10-07	2146528
2023-10-06	2246005
2023-10-05	2352477
2023-10-04	2359588
2023-10-03	2448024
2023-10-02	2400807
2023-10-01	2079066
2023-09-30	2124863
2023-09-29	2187780
2023-09-28	2282339
2023-09-27	2241353
2023-09-26	2374857
2023-09-25	2422032
2023-09-24	2146985
2023-09-23	2122847
2023-09-22	2216853
2023-09-21	2319465
2023-09-20	2264990
2023-09-19	2199771
2023-09-18	2134222
2023-09-17	1956637
2023-09-16	2041819
2023-09-15	2125567
2023-09-14	2185409
2023-09-13	2147890
2023-09-12	2227037
2023-09-11	2405947
2023-09-10	2073549
2023-09-09	2091070
2023-09-08	2370971
2023-09-07	2306538
2023-09-06	2263407
2023-09-05	2279475
2023-09-04	2528963
2023-09-03	2170076
2023-09-02	2191431
2023-09-01	2191828
2023-08-31	2297006
2023-08-30	2192996
2023-08-29	2185018
2023-08-28	2105860
2023-08-27	1906524
2023-08-26	2023754
2023-08-25	2182771
2023-08-24	2179442
2023-08-23	2242365
2023-08-22	2235798
2023-08-21	2223474
2023-08-20	2128627
2023-08-19	2294609
2023-08-18	2462636
2023-08-17	2541013
2023-08-16	2446608
2023-08-15	2406476
2023-08-14	2328379
2023-08-13	2321402
2023-08-12	2303100
2023-08-11	2482813
2023-08-10	2532610
2023-08-09	2688279
2023-08-08	2752920
2023-08-07	2561784
2023-08-06	2331349
2023-08-05	2402046
2023-08-04	2642305
2023-08-03	2643762
2023-08-02	2531358
2023-08-01	2605889
2023-07-31	2684598
2023-07-30	2489002
2023-07-29	2554503
2023-07-28	2558509
2023-07-27	2641294
2023-07-26	2600263
2023-07-25	2397909
2023-07-24	2487383
2023-07-23	2255760
2023-07-22	2332550
2023-07-21	2488099
2023-07-20	2575651
2023-07-19	2514030
2023-07-18	2451206
2023-07-17	2558498
2023-07-16	2298915
2023-07-15	2301645
2023-07-14	2711699
2023-07-13	2735289
2023-07-12	2665746
2023-07-11	2547340
2023-07-10	2520819
2023-07-09	2230681
2023-07-08	2148941
2023-07-07	2251935
2023-07-06	2422063
2023-07-05	2334379
2023-07-04	2396750
2023-07-03	2468408
2023-07-02	2250694
2023-07-01	2254766
2023-06-30	2681532
2023-06-29	2490207
2023-06-28	2475530
2023-06-27	2430593
2023-06-26	2417404
2023-06-25	2255106
2023-06-24	2192146
2023-06-23	2319441
2023-06-22	2367611
2023-06-21	2467910
2023-06-20	2383906
2023-06-19	2335598
2023-06-18	2023027
2023-06-17	2157543
2023-06-16	2395267
2023-06-15	2612653
2023-06-14	2630588
2023-06-13	2481777
2023-06-12	2424918
2023-06-11	2209207
2023-06-10	2737734
2023-06-09	2466397
2023-06-08	2324499
2023-06-07	2410883
2023-06-06	2479464
2023-06-05	2459581
2023-06-04	2198806
2023-06-03	2148804
2023-06-02	2335971
2023-06-01	2495956
2023-05-31	2605188
2023-05-30	2633491
2023-05-29	2582047
2023-05-28	2245458
2023-05-27	2377223
2023-05-26	2670354
2023-05-25	2519494
2023-05-24	2561112
2023-05-23	2502660
2023-05-22	2365875
2023-05-21	2239054
2023-05-20	2344002
2023-05-19	2420988
2023-05-18	2501332
2023-05-17	2390016
2023-05-16	2430117
2023-05-15	2367965
2023-05-14	2072054
2023-05-13	2094856
2023-05-12	2327844
2023-05-11	2340643
2023-05-10	2416859
2023-05-09	2206736
2023-05-08	2240383
2023-05-07	1928215
2023-05-06	1975510
2023-05-05	2065108
2023-05-04	2013939
2023-05-03	2190777
2023-05-02	2223702
2023-05-01	2171887
2023-04-30	2009469
2023-04-29	1929700
2023-04-28	2091921
2023-04-27	2179442
2023-04-26	2281807
2023-04-25	2374986
2023-04-24	2270588
2023-04-23	2037579
2023-04-22	2127053
2023-04-21	2393755
2023-04-20	2325557
2023-04-19	2317793
2023-04-18	2480374
2023-04-17	2430004
2023-04-16	2328386
2023-04-15	2380927
2023-04-14	2660322
2023-04-13	2614983
2023-04-12	2747650
