date	unique_recievers
2024-04-02	352431
2024-04-01	39728
2024-03-31	42149
2024-03-30	52134
2024-03-29	97153
2024-03-28	344206
2024-03-27	250495
2024-03-26	126068
2024-03-25	245282
2024-03-24	59369
2024-03-23	70384
2024-03-22	98654
2024-03-21	75882
2024-03-20	32273
2024-03-19	71125
2024-03-18	29527
2024-03-17	67718
2024-03-16	50637
2024-03-15	43194
2024-03-14	95489
2024-03-13	202717
2024-03-12	36110
2024-03-11	28345
2024-03-10	28429
2024-03-09	31293
2024-03-08	40427
2024-03-07	35901
2024-03-06	35494
2024-03-05	43545
2024-03-04	37183
2024-03-03	64647
2024-03-02	55904
2024-03-01	40291
2024-02-29	40722
2024-02-28	39461
2024-02-27	44208
2024-02-26	31858
2024-02-25	33075
2024-02-24	32142
2024-02-23	32872
2024-02-22	29630
2024-02-21	32862
2024-02-20	229751
2024-02-19	49568
2024-02-18	45968
2024-02-17	26280
2024-02-16	49162
2024-02-15	96268
2024-02-14	93581
2024-02-13	171651
2024-02-12	60018
2024-02-11	131117
2024-02-10	26071
2024-02-09	410356
2024-02-08	134045
2024-02-07	37113
2024-02-06	35750
2024-02-05	29794
2024-02-04	32343
2024-02-03	27747
2024-02-02	149343
2024-02-01	28178
2024-01-31	189826
2024-01-30	212516
2024-01-29	191151
2024-01-28	28503
2024-01-27	25070
2024-01-26	25094
2024-01-25	29180
2024-01-24	248225
2024-01-23	98758
2024-01-22	24448
2024-01-21	27557
2024-01-20	24957
2024-01-19	28956
2024-01-18	29616
2024-01-17	21886
2024-01-16	31141
2024-01-15	28830
2024-01-14	24748
2024-01-13	29325
2024-01-12	32603
2024-01-11	70305
2024-01-10	47175
2024-01-09	40348
2024-01-08	110340
2024-01-07	30129
2024-01-06	24341
2024-01-05	154101
2024-01-04	177237
2024-01-03	265878
2024-01-02	58052
2024-01-01	24603
2023-12-31	32527
2023-12-30	43043
2023-12-29	41693
2023-12-28	39266
2023-12-27	38700
2023-12-26	36323
2023-12-25	24596
2023-12-24	29411
2023-12-23	27193
2023-12-22	74335
2023-12-21	34859
2023-12-20	30219
2023-12-19	35582
2023-12-18	66940
2023-12-17	32727
2023-12-16	28632
2023-12-15	113103
2023-12-14	105152
2023-12-13	197962
2023-12-12	157227
2023-12-11	77561
2023-12-10	103654
2023-12-09	27105
2023-12-08	112363
2023-12-07	79994
2023-12-06	77454
2023-12-05	133287
2023-12-04	187973
2023-12-03	81561
2023-12-02	27801
2023-12-01	281632
2023-11-30	164411
2023-11-29	144671
2023-11-28	49937
2023-11-27	31092
2023-11-26	29604
2023-11-25	35454
2023-11-24	33687
2023-11-23	25944
2023-11-22	28266
2023-11-21	35121
2023-11-20	28166
2023-11-19	36323
2023-11-18	27697
2023-11-17	153045
2023-11-16	35439
2023-11-15	28512
2023-11-14	93847
2023-11-13	71336
2023-11-12	75387
2023-11-11	29528
2023-11-10	201745
2023-11-09	215764
2023-11-08	34669
2023-11-07	199426
2023-11-06	29924
2023-11-05	27053
2023-11-04	26976
2023-11-03	37639
2023-11-02	183716
2023-11-01	241887
2023-10-31	35772
2023-10-30	23323
2023-10-29	22849
2023-10-28	20609
2023-10-27	102308
2023-10-26	299221
2023-10-25	366346
2023-10-24	182359
2023-10-23	133614
2023-10-22	26740
2023-10-21	30081
2023-10-20	27839
2023-10-19	240934
2023-10-18	22010
2023-10-17	32052
2023-10-16	31184
2023-10-15	22249
2023-10-14	25353
2023-10-13	380350
2023-10-12	177216
2023-10-11	228404
2023-10-10	95714
2023-10-09	167348
2023-10-08	43518
2023-10-07	19281
2023-10-06	240698
2023-10-05	24640
2023-10-04	251154
