date	unique_recievers
2024-04-03	659744
2024-04-02	691243
2024-04-01	653947
2024-03-31	550146
2024-03-30	619922
2024-03-29	663913
2024-03-28	700922
2024-03-27	650011
2024-03-26	659709
2024-03-25	627379
2024-03-24	571452
2024-03-23	629112
2024-03-22	682332
2024-03-21	615174
2024-03-20	644855
2024-03-19	763476
2024-03-18	682619
2024-03-17	606800
2024-03-16	630089
2024-03-15	755166
2024-03-14	673281
2024-03-13	717694
2024-03-12	685137
2024-03-11	692745
2024-03-10	639328
2024-03-09	646712
2024-03-08	733128
2024-03-07	730749
2024-03-06	694982
2024-03-05	781212
2024-03-04	670072
2024-03-03	638755
2024-03-02	628026
2024-03-01	778057
2024-02-29	779173
2024-02-28	769289
2024-02-27	678734
2024-02-26	627313
2024-02-25	619844
2024-02-24	597890
2024-02-23	687752
2024-02-22	650615
2024-02-21	644618
2024-02-20	655613
2024-02-19	623414
2024-02-18	567393
2024-02-17	595185
2024-02-16	623917
2024-02-15	617905
2024-02-14	589872
2024-02-13	593557
2024-02-12	652763
2024-02-11	564734
2024-02-10	641167
2024-02-09	620063
2024-02-08	549953
2024-02-07	644778
2024-02-06	526431
2024-02-05	529594
2024-02-04	543611
2024-02-03	670989
2024-02-02	696782
2024-02-01	685243
2024-01-31	633390
2024-01-30	698660
2024-01-29	703115
2024-01-28	736890
2024-01-27	725550
2024-01-26	693255
2024-01-25	578976
2024-01-24	573159
2024-01-23	605407
2024-01-22	637723
2024-01-21	742883
2024-01-20	746714
2024-01-19	675293
2024-01-18	717083
2024-01-17	680876
2024-01-16	581001
2024-01-15	574338
2024-01-14	618251
2024-01-13	718804
2024-01-12	604883
2024-01-11	671581
2024-01-10	615807
2024-01-09	641900
2024-01-08	608195
2024-01-07	521338
2024-01-06	587027
2024-01-05	692016
2024-01-04	692987
2024-01-03	687859
2024-01-02	561340
2024-01-01	641724
2023-12-31	703232
2023-12-30	614258
2023-12-29	712572
2023-12-28	598651
2023-12-27	652514
2023-12-26	591311
2023-12-25	577357
2023-12-24	757454
2023-12-23	699250
2023-12-22	782361
2023-12-21	704554
2023-12-20	665528
2023-12-19	691458
2023-12-18	728124
2023-12-17	578705
2023-12-16	645913
2023-12-15	727306
2023-12-14	582889
2023-12-13	630768
2023-12-12	705269
2023-12-11	752854
2023-12-10	677601
2023-12-09	762151
2023-12-08	691122
2023-12-07	652782
2023-12-06	650338
2023-12-05	676823
2023-12-04	767089
2023-12-03	779907
2023-12-02	692055
2023-12-01	847816
2023-11-30	704599
2023-11-29	649838
2023-11-28	716765
2023-11-27	761637
2023-11-26	819979
2023-11-25	864633
2023-11-24	844786
2023-11-23	773200
2023-11-22	780794
2023-11-21	782516
2023-11-20	807042
2023-11-19	809301
2023-11-18	750134
2023-11-17	763059
2023-11-16	815817
2023-11-15	773537
2023-11-14	747851
2023-11-13	673222
2023-11-12	883683
2023-11-11	897476
2023-11-10	852359
2023-11-09	834960
2023-11-08	839591
2023-11-07	740198
2023-11-06	727146
2023-11-05	894060
2023-11-04	959825
2023-11-03	792098
2023-11-02	810453
2023-11-01	799424
2023-10-31	786508
2023-10-30	783124
2023-10-29	675606
2023-10-28	822454
2023-10-27	804548
2023-10-26	782138
2023-10-25	815880
2023-10-24	758779
2023-10-23	664668
2023-10-22	584510
2023-10-21	644168
2023-10-20	708155
2023-10-19	652276
2023-10-18	616756
2023-10-17	649285
2023-10-16	656222
2023-10-15	574493
2023-10-14	617684
2023-10-13	666319
2023-10-12	628402
2023-10-11	610046
2023-10-10	633368
2023-10-09	603115
2023-10-08	561862
2023-10-07	601763
2023-10-06	683490
2023-10-05	692322
2023-10-04	642408
2023-10-03	679809
2023-10-02	696474
2023-10-01	616812
2023-09-30	628385
2023-09-29	716707
2023-09-28	642658
2023-09-27	625022
2023-09-26	628420
2023-09-25	639598
2023-09-24	688624
2023-09-23	884567
2023-09-22	760009
2023-09-21	765714
2023-09-20	826650
2023-09-19	744493
2023-09-18	854637
2023-09-17	856555
2023-09-16	878453
2023-09-15	1020055
2023-09-14	877531
2023-09-13	804579
2023-09-12	786917
2023-09-11	722208
2023-09-10	848873
2023-09-09	929631
2023-09-08	695865
2023-09-07	787244
2023-09-06	758959
2023-09-05	755601
2023-09-04	734509
2023-09-03	701339
2023-09-02	776633
2023-09-01	773752
2023-08-31	753393
2023-08-30	667838
2023-08-29	770499
2023-08-28	639200
2023-08-27	608209
2023-08-26	750196
2023-08-25	709339
2023-08-24	662378
2023-08-23	654480
2023-08-22	638914
2023-08-21	744125
2023-08-20	695865
2023-08-19	633327
2023-08-18	788600
2023-08-17	771033
2023-08-16	671885
2023-08-15	789145
2023-08-14	727245
2023-08-13	652458
2023-08-12	705654
