date	unique_recievers
2024-03-12	253851
2024-03-11	282265
2024-03-10	253742
2024-03-09	256459
2024-03-08	275340
2024-03-07	283003
2024-03-06	281317
2024-03-05	309648
2024-03-04	292798
2024-03-03	260166
2024-03-02	272524
2024-03-01	273511
2024-02-29	297103
2024-02-28	288637
2024-02-27	274829
2024-02-26	263114
2024-02-25	237742
2024-02-24	242026
2024-02-23	262216
2024-02-22	245432
2024-02-21	237021
2024-02-20	238945
2024-02-19	235644
2024-02-18	223860
2024-02-17	222708
2024-02-16	241342
2024-02-15	239788
2024-02-14	233490
2024-02-13	227029
2024-02-12	209333
2024-02-11	219816
2024-02-10	221584
2024-02-09	229602
2024-02-08	226369
2024-02-07	250974
2024-02-06	231211
2024-02-05	234125
2024-02-04	218138
2024-02-03	215528
2024-02-02	234366
2024-02-01	239959
2024-01-31	238689
2024-01-30	241359
2024-01-29	241902
2024-01-28	246507
2024-01-27	256035
2024-01-26	260829
2024-01-25	259265
2024-01-24	222459
2024-01-23	219967
2024-01-22	220022
2024-01-21	214426
2024-01-20	222029
2024-01-19	241734
2024-01-18	235184
2024-01-17	223838
2024-01-16	232619
2024-01-15	226835
2024-01-14	189648
2024-01-13	214062
2024-01-12	236824
2024-01-11	249644
2024-01-10	247834
2024-01-09	222722
2024-01-08	226791
2024-01-07	243512
2024-01-06	217033
2024-01-05	226473
2024-01-04	228527
2024-01-03	227702
2024-01-02	229114
2024-01-01	198165
2023-12-31	215715
2023-12-30	219773
2023-12-29	229344
2023-12-28	243079
2023-12-27	233644
2023-12-26	231024
2023-12-25	211378
2023-12-24	221143
2023-12-23	231194
2023-12-22	240756
2023-12-21	250924
2023-12-20	275746
2023-12-19	255775
2023-12-18	237012
2023-12-17	215704
2023-12-16	217072
2023-12-15	237360
2023-12-14	237528
2023-12-13	217412
2023-12-12	226505
2023-12-11	221788
2023-12-10	223913
2023-12-09	234561
2023-12-08	239054
2023-12-07	231379
2023-12-06	228676
2023-12-05	230305
2023-12-04	221112
2023-12-03	195598
2023-12-02	192723
2023-12-01	212105
2023-11-30	213204
2023-11-29	208607
2023-11-28	211292
2023-11-27	201886
2023-11-26	192659
2023-11-25	193682
2023-11-24	209035
2023-11-23	217790
2023-11-22	221893
2023-11-21	221093
2023-11-20	211928
2023-11-19	185900
2023-11-18	192665
2023-11-17	197861
2023-11-16	210629
2023-11-15	203053
2023-11-14	192995
2023-11-13	191740
2023-11-12	191937
2023-11-11	202705
2023-11-10	216179
2023-11-09	216791
2023-11-08	202937
2023-11-07	201376
2023-11-06	194224
2023-11-05	180011
2023-11-04	186197
2023-11-03	198987
2023-11-02	199791
2023-11-01	202825
2023-10-31	210368
2023-10-30	195404
2023-10-29	175931
2023-10-28	180328
2023-10-27	192674
2023-10-26	212102
2023-10-25	211292
2023-10-24	215884
2023-10-23	197731
2023-10-22	174932
2023-10-21	178324
2023-10-20	189121
2023-10-19	180301
2023-10-18	183185
2023-10-17	182659
2023-10-16	185913
2023-10-15	160520
2023-10-14	171313
2023-10-13	184256
2023-10-12	186735
2023-10-11	183152
2023-10-10	183514
2023-10-09	192688
2023-10-08	177291
2023-10-07	198706
2023-10-06	188783
2023-10-05	187155
2023-10-04	185380
2023-10-03	185241
2023-10-02	186553
2023-10-01	169165
2023-09-30	184686
2023-09-29	197421
2023-09-28	198648
2023-09-27	208141
2023-09-26	201473
2023-09-25	192807
2023-09-24	173927
2023-09-23	172087
2023-09-22	192023
2023-09-21	193349
2023-09-20	198503
2023-09-19	198169
2023-09-18	185740
2023-09-17	171072
2023-09-16	175326
2023-09-15	187152
2023-09-14	199802
2023-09-13	174586
2023-09-12	186305
2023-09-11	188517
2023-09-10	173114
2023-09-09	185930
2023-09-08	196774
2023-09-07	191798
2023-09-06	194758
2023-09-05	191683
2023-09-04	183902
2023-09-03	178146
2023-09-02	184758
2023-09-01	196472
2023-08-31	201235
2023-08-30	205547
2023-08-29	193997
2023-08-28	179853
2023-08-27	169271
2023-08-26	191851
2023-08-25	193000
2023-08-24	188259
2023-08-23	193636
2023-08-22	201104
2023-08-21	191888
2023-08-20	170707
2023-08-19	182765
2023-08-18	196114
2023-08-17	204520
2023-08-16	191967
2023-08-15	194383
2023-08-14	187989
2023-08-13	171003
2023-08-12	178687
2023-08-11	196513
2023-08-10	199344
2023-08-09	201504
2023-08-08	199698
2023-08-07	193045
2023-08-06	180681
2023-08-05	184269
2023-08-04	193670
2023-08-03	192761
2023-08-02	189955
2023-08-01	198142
2023-07-31	210365
2023-07-30	194568
2023-07-29	185681
2023-07-28	191217
2023-07-27	184972
2023-07-26	187124
2023-07-25	182307
2023-07-24	186831
2023-07-23	171726
2023-07-22	181190
2023-07-21	209565
2023-07-20	201228
2023-07-19	215725
2023-07-18	235291
2023-07-17	189368
2023-07-16	176032
2023-07-15	186443
2023-07-14	215755
2023-07-13	211964
2023-07-12	199898
2023-07-11	204222
2023-07-10	198826
2023-07-09	177663
2023-07-08	192063
2023-07-07	187586
2023-07-06	170565
2023-07-05	163233
2023-07-04	192301
2023-07-03	200743
2023-07-02	184472
2023-07-01	201363
2023-06-30	213741
2023-06-29	216819
2023-06-28	208632
2023-06-27	211603
2023-06-26	202733
2023-06-25	184956
2023-06-24	194907
2023-06-23	194682
2023-06-22	195124
2023-06-21	204902
2023-06-20	191906
2023-06-19	191801
2023-06-18	165770
2023-06-17	176881
2023-06-16	209402
2023-06-15	204977
2023-06-14	187885
2023-06-13	192063
2023-06-12	188225
2023-06-11	255612
2023-06-10	285373
2023-06-09	243838
2023-06-08	188824
2023-06-07	212407
2023-06-06	213561
2023-06-05	209520
2023-06-04	183172
2023-06-03	189832
2023-06-02	200064
2023-06-01	190171
2023-05-31	207842
2023-05-30	224407
2023-05-29	190866
2023-05-28	172413
2023-05-27	184079
2023-05-26	197248
2023-05-25	206059
2023-05-24	197014
2023-05-23	202486
2023-05-22	195731
2023-05-21	191682
2023-05-20	201926
2023-05-19	207166
2023-05-18	198940
2023-05-17	207372
2023-05-16	209218
2023-05-15	209643
2023-05-14	191903
2023-05-13	195959
2023-05-12	211497
2023-05-11	207032
2023-05-10	207688
2023-05-09	222230
2023-05-08	224485
2023-05-07	203806
2023-05-06	220749
2023-05-05	248400
2023-05-04	212097
2023-05-03	202128
2023-05-02	207731
2023-05-01	207285
2023-04-30	182110
2023-04-29	175696
2023-04-28	198348
2023-04-27	192731
2023-04-26	198655
2023-04-25	191423
2023-04-24	182690
2023-04-23	167340
2023-04-22	171376
2023-04-21	200187
2023-04-20	209253
2023-04-19	215136
