date	unique_recievers
2024-04-03	166134
2024-04-02	178880
2024-04-01	196774
2024-03-31	160554
2024-03-30	174380
2024-03-29	192673
2024-03-28	197003
2024-03-27	220587
2024-03-26	219106
2024-03-25	174941
2024-03-24	174961
2024-03-23	187868
2024-03-22	182333
2024-03-21	173689
2024-03-20	200081
2024-03-19	186233
2024-03-18	196724
2024-03-17	163234
2024-03-16	172090
2024-03-15	209992
2024-03-14	234735
2024-03-13	241693
2024-03-12	224620
2024-03-11	239367
2024-03-10	201958
2024-03-09	220850
2024-03-08	244106
2024-03-07	266116
2024-03-06	223055
2024-03-05	253632
2024-03-04	204676
2024-03-03	188790
2024-03-02	187285
2024-03-01	234702
2024-02-29	240882
2024-02-28	250322
2024-02-27	204702
2024-02-26	210992
2024-02-25	185508
2024-02-24	205039
2024-02-23	191105
2024-02-22	194830
2024-02-21	199218
2024-02-20	214914
2024-02-19	224135
2024-02-18	184169
2024-02-17	197040
2024-02-16	213771
2024-02-15	192499
2024-02-14	189461
2024-02-13	168498
2024-02-12	164340
2024-02-11	152779
2024-02-10	155395
2024-02-09	210755
2024-02-08	207971
2024-02-07	192997
2024-02-06	187557
2024-02-05	161011
2024-02-04	176798
2024-02-03	170410
2024-02-02	177679
2024-02-01	173432
2024-01-31	186776
2024-01-30	182148
2024-01-29	169961
2024-01-28	148675
2024-01-27	152346
2024-01-26	181135
2024-01-25	155139
2024-01-24	163999
2024-01-23	162810
2024-01-22	159230
2024-01-21	145057
2024-01-20	161740
2024-01-19	142924
2024-01-18	166524
2024-01-17	158627
2024-01-16	143667
2024-01-15	140173
2024-01-14	112499
2024-01-13	126596
2024-01-12	139580
2024-01-11	131596
2024-01-10	135707
2024-01-09	137579
2024-01-08	138165
2024-01-07	126056
2024-01-06	117668
2024-01-05	145391
2024-01-04	140867
2024-01-03	129630
2024-01-02	123105
2024-01-01	96598
2023-12-31	144424
2023-12-30	142026
2023-12-29	176221
2023-12-28	163667
2023-12-27	150495
2023-12-26	134349
2023-12-25	115486
2023-12-24	121241
2023-12-23	134515
2023-12-22	143503
2023-12-21	147006
2023-12-20	160408
2023-12-19	158626
2023-12-18	132907
2023-12-17	127306
2023-12-16	119394
2023-12-15	135384
2023-12-14	146625
2023-12-13	126536
2023-12-12	132473
2023-12-11	114398
2023-12-10	104781
2023-12-09	108773
2023-12-08	125661
2023-12-07	131134
2023-12-06	121034
2023-12-05	109097
2023-12-04	108644
2023-12-03	86221
2023-12-02	95348
2023-12-01	125155
2023-11-30	110510
2023-11-29	127490
2023-11-28	107279
2023-11-27	102572
2023-11-26	95139
2023-11-25	96402
2023-11-24	108618
2023-11-23	109540
2023-11-22	132058
2023-11-21	111153
2023-11-20	115878
2023-11-19	110354
2023-11-18	128491
2023-11-17	140924
2023-11-16	146487
2023-11-15	129736
2023-11-14	99241
2023-11-13	103211
2023-11-12	118303
2023-11-11	132499
2023-11-10	131973
2023-11-09	137509
2023-11-08	133329
2023-11-07	112251
2023-11-06	139678
2023-11-05	93936
2023-11-04	108101
2023-11-03	119125
2023-11-02	184054
2023-11-01	131195
2023-10-31	136979
2023-10-30	132426
2023-10-29	100882
2023-10-28	103361
2023-10-27	119775
2023-10-26	115234
2023-10-25	109766
2023-10-24	127669
2023-10-23	117612
2023-10-22	90189
2023-10-21	96149
2023-10-20	163392
2023-10-19	124274
2023-10-18	103200
2023-10-17	103830
2023-10-16	107711
2023-10-15	96162
2023-10-14	99863
2023-10-13	114436
2023-10-12	110834
2023-10-11	109043
2023-10-10	99272
2023-10-09	97574
2023-10-08	99079
2023-10-07	94489
2023-10-06	105617
2023-10-05	133553
2023-10-04	98498
2023-10-03	97526
2023-10-02	89652
2023-10-01	78485
2023-09-30	121501
2023-09-29	102501
2023-09-28	133999
2023-09-27	134520
2023-09-26	120261
2023-09-25	114803
2023-09-24	91418
2023-09-23	90911
2023-09-22	98028
2023-09-21	103895
2023-09-20	101237
2023-09-19	106208
2023-09-18	107339
2023-09-17	89704
2023-09-16	99211
2023-09-15	107801
2023-09-14	119572
2023-09-13	100894
2023-09-12	124409
2023-09-11	155761
2023-09-10	107853
2023-09-09	119486
2023-09-08	163540
2023-09-07	148680
2023-09-06	112734
2023-09-05	102534
2023-09-04	114075
2023-09-03	103791
2023-09-02	117894
2023-09-01	109377
2023-08-31	119442
2023-08-30	107724
2023-08-29	116400
2023-08-28	116043
2023-08-27	94648
2023-08-26	99570
2023-08-25	109018
2023-08-24	103970
2023-08-23	100970
2023-08-22	108073
2023-08-21	103877
2023-08-20	88720
2023-08-19	96397
2023-08-18	110963
2023-08-17	113052
2023-08-16	121000
2023-08-15	129088
2023-08-14	119790
2023-08-13	109456
2023-08-12	117078
2023-08-11	128595
2023-08-10	123703
2023-08-09	127286
2023-08-08	140511
2023-08-07	126634
2023-08-06	113663
2023-08-05	116882
2023-08-04	134296
2023-08-03	132912
2023-08-02	120595
2023-08-01	129389
2023-07-31	140572
2023-07-30	137486
2023-07-29	135759
2023-07-28	144389
2023-07-27	166818
2023-07-26	172306
2023-07-25	152538
2023-07-24	158152
2023-07-23	134576
2023-07-22	145190
2023-07-21	130664
2023-07-20	116824
2023-07-19	121372
2023-07-18	121460
2023-07-17	128712
2023-07-16	108173
2023-07-15	108023
2023-07-14	127855
2023-07-13	141018
2023-07-12	116336
2023-07-11	119773
2023-07-10	136077
2023-07-09	122803
2023-07-08	107415
2023-07-07	104139
2023-07-06	112194
2023-07-05	110951
2023-07-04	115887
2023-07-03	115332
2023-07-02	103107
2023-07-01	111453
2023-06-30	130404
2023-06-29	128004
2023-06-28	117453
2023-06-27	114005
2023-06-26	112007
2023-06-25	107357
2023-06-24	111758
2023-06-23	115324
2023-06-22	123505
2023-06-21	133940
2023-06-20	137245
2023-06-19	133522
2023-06-18	97014
2023-06-17	104348
2023-06-16	125311
2023-06-15	143657
2023-06-14	149431
2023-06-13	129548
2023-06-12	123963
2023-06-11	119331
2023-06-10	130246
2023-06-09	121713
2023-06-08	118077
2023-06-07	120301
2023-06-06	125967
2023-06-05	119790
2023-06-04	110179
2023-06-03	111266
2023-06-02	122331
2023-06-01	137963
2023-05-31	143245
2023-05-30	166134
2023-05-29	152040
2023-05-28	139364
2023-05-27	148982
2023-05-26	159036
2023-05-25	160491
2023-05-24	157989
2023-05-23	155855
2023-05-22	150255
2023-05-21	145068
2023-05-20	154696
2023-05-19	154606
2023-05-18	152556
2023-05-17	140041
2023-05-16	143487
2023-05-15	148417
2023-05-14	123800
2023-05-13	118243
2023-05-12	134612
2023-05-11	170568
2023-05-10	141167
2023-05-09	132182
2023-05-08	126025
2023-05-07	102149
2023-05-06	118857
2023-05-05	128727
2023-05-04	129306
2023-05-03	119773
2023-05-02	142505
2023-05-01	146701
2023-04-30	140236
2023-04-29	133179
2023-04-28	139273
2023-04-27	154344
2023-04-26	134359
2023-04-25	160693
2023-04-24	158373
2023-04-23	121886
2023-04-22	131658
2023-04-21	152991
2023-04-20	150286
2023-04-19	148271
2023-04-18	144825
2023-04-17	136214
2023-04-16	136982
2023-04-15	139487
2023-04-14	143826
2023-04-13	135778
2023-04-12	136741
2023-04-11	153876
2023-04-10	145380
2023-04-09	133963
2023-04-08	143645
2023-04-07	152263
2023-04-06	159240
2023-04-05	166781
2023-04-04	151752
2023-04-03	152028
2023-04-02	137069
2023-04-01	167738
2023-03-31	181183
2023-03-30	162317
2023-03-29	168456
2023-03-28	172766
2023-03-27	151768
2023-03-26	142061
2023-03-25	154970
2023-03-24	162504
2023-03-23	154540
2023-03-22	149801
2023-03-21	155482
2023-03-20	214625
2023-03-19	166246
2023-03-18	179500
2023-03-17	176816
2023-03-16	138864
2023-03-15	137359
2023-03-14	150932
2023-03-13	145339
2023-03-12	116034
2023-03-11	124251
2023-03-10	150229
2023-03-09	135625
2023-03-08	124103
2023-03-07	132711
2023-03-06	132354
2023-03-05	118373
2023-03-04	122827
2023-03-03	130132
2023-03-02	139567
2023-03-01	133838
2023-02-28	123014
2023-02-27	127920
2023-02-26	125060
2023-02-25	122324
2023-02-24	141828
2023-02-23	125057
2023-02-22	121440
2023-02-21	123643
2023-02-20	136211
2023-02-19	122294
2023-02-18	120133
2023-02-17	131999
2023-02-16	139825
2023-02-15	146307
2023-02-14	129594
2023-02-13	145607
2023-02-12	127867
2023-02-11	137598
2023-02-10	139565
2023-02-09	128626
2023-02-08	144527
2023-02-07	129721
2023-02-06	112878
2023-02-05	110030
2023-02-04	111787
2023-02-03	127462
2023-02-02	145294
2023-02-01	135572
2023-01-31	129337
2023-01-30	124707
2023-01-29	112349
2023-01-28	118656
2023-01-27	121359
2023-01-26	124480
2023-01-25	133376
2023-01-24	113043
2023-01-23	104291
2023-01-22	115160
2023-01-21	118010
2023-01-20	120830
2023-01-19	122686
2023-01-18	121325
2023-01-17	129590
2023-01-16	121565
2023-01-15	102915
2023-01-14	110833
2023-01-13	114984
2023-01-12	127111
2023-01-11	144673
2023-01-10	141779
2023-01-09	142621
2023-01-08	162450
2023-01-07	114413
2023-01-06	192976
2023-01-05	182729
2023-01-04	151248
2023-01-03	174003
2023-01-02	170098
2023-01-01	173449
2022-12-31	186485
2022-12-30	150468
2022-12-29	124785
2022-12-28	135835
