date	unique_senders
2024-04-02	245224
2024-04-01	45439
2024-03-31	31812
2024-03-30	27964
2024-03-29	39422
2024-03-28	52295
2024-03-27	167989
2024-03-26	136364
2024-03-25	45981
2024-03-24	43664
2024-03-23	38960
2024-03-22	28757
2024-03-21	53877
2024-03-20	132991
2024-03-19	65084
2024-03-18	34617
2024-03-17	23919
2024-03-16	28416
2024-03-15	26711
2024-03-14	31590
2024-03-13	25022
2024-03-12	24748
2024-03-11	31974
2024-03-10	21159
2024-03-09	23770
2024-03-08	34815
2024-03-07	29261
2024-03-06	29699
2024-03-05	41067
2024-03-04	44681
2024-03-03	56035
2024-03-02	50742
2024-03-01	31683
2024-02-29	35812
2024-02-28	369303
2024-02-27	35305
2024-02-26	37717
2024-02-25	24146
2024-02-24	23055
2024-02-23	25920
2024-02-22	22250
2024-02-21	128209
2024-02-20	32520
2024-02-19	132846
2024-02-18	80813
2024-02-17	19226
2024-02-16	218453
2024-02-15	25933
2024-02-14	29346
2024-02-13	36254
2024-02-12	47487
2024-02-11	29493
2024-02-10	17809
2024-02-09	28154
2024-02-08	78492
2024-02-07	28060
2024-02-06	23008
2024-02-05	31154
2024-02-04	78042
2024-02-03	16450
2024-02-02	23409
2024-02-01	20842
2024-01-31	156102
2024-01-30	104214
2024-01-29	31274
2024-01-28	18530
2024-01-27	16670
2024-01-26	17313
2024-01-25	55920
2024-01-24	109436
2024-01-23	50065
2024-01-22	32193
2024-01-21	21803
2024-01-20	18400
2024-01-19	21245
2024-01-18	23153
2024-01-17	16282
2024-01-16	22508
2024-01-15	34019
2024-01-14	16881
2024-01-13	21788
2024-01-12	23210
2024-01-11	45023
2024-01-10	312970
2024-01-09	29169
2024-01-08	37596
2024-01-07	23636
2024-01-06	17534
2024-01-05	30045
2024-01-04	35529
2024-01-03	28600
2024-01-02	41004
2024-01-01	20246
2023-12-31	24408
2023-12-30	34080
2023-12-29	34851
2023-12-28	32643
2023-12-27	46538
2023-12-26	25374
2023-12-25	16496
2023-12-24	18563
2023-12-23	22849
2023-12-22	65631
2023-12-21	26950
2023-12-20	24523
2023-12-19	25919
2023-12-18	215309
2023-12-17	24897
2023-12-16	20605
2023-12-15	72567
2023-12-14	63445
2023-12-13	23414
2023-12-12	73244
2023-12-11	128701
2023-12-10	17905
2023-12-09	21084
2023-12-08	164317
2023-12-07	99110
2023-12-06	32489
2023-12-05	32203
2023-12-04	41005
2023-12-03	23009
2023-12-02	22213
2023-12-01	30072
2023-11-30	22752
2023-11-29	58580
2023-11-28	34429
2023-11-27	24608
2023-11-26	23093
2023-11-25	27734
2023-11-24	26409
2023-11-23	28796
2023-11-22	23418
2023-11-21	23693
2023-11-20	33082
2023-11-19	28799
2023-11-18	20988
2023-11-17	95700
2023-11-16	22922
2023-11-15	22237
2023-11-14	286578
2023-11-13	32893
2023-11-12	24796
2023-11-11	23583
2023-11-10	28751
2023-11-09	34710
2023-11-08	47342
2023-11-07	27828
2023-11-06	43284
2023-11-05	19760
2023-11-04	22525
2023-11-03	28137
2023-11-02	30289
2023-11-01	23485
2023-10-31	24023
2023-10-30	20873
2023-10-29	19359
2023-10-28	15991
2023-10-27	71395
2023-10-26	166378
2023-10-25	158801
2023-10-24	40710
2023-10-23	85790
2023-10-22	21755
2023-10-21	24983
2023-10-20	21773
2023-10-19	20093
2023-10-18	17920
2023-10-17	21118
2023-10-16	30856
2023-10-15	15715
2023-10-14	16959
2023-10-13	39024
2023-10-12	125693
2023-10-11	152389
2023-10-10	40322
2023-10-09	156010
2023-10-08	20662
2023-10-07	13603
2023-10-06	20011
2023-10-05	20645
2023-10-04	202000
2023-10-03	31688
2023-10-02	29590
2023-10-01	22677
2023-09-30	135959
2023-09-29	20598
2023-09-28	81114
2023-09-27	66639
2023-09-26	49494
2023-09-25	27061
2023-09-24	13394
2023-09-23	20785
2023-09-22	30127
2023-09-21	21645
2023-09-20	62421
2023-09-19	26880
2023-09-18	82250
2023-09-17	18411
2023-09-16	20639
2023-09-15	74984
2023-09-14	68510
2023-09-13	73201
2023-09-12	123530
2023-09-11	40818
2023-09-10	23051
2023-09-09	68329
2023-09-08	64051
2023-09-07	47590
2023-09-06	32206
2023-09-05	26067
2023-09-04	17154
2023-09-03	15602
2023-09-02	17573
2023-09-01	48068
2023-08-31	34953
2023-08-30	40969
2023-08-29	28311
2023-08-28	18320
2023-08-27	16326
2023-08-26	14576
2023-08-25	21665
2023-08-24	18207
2023-08-23	13230
2023-08-22	20753
2023-08-21	29728
2023-08-20	21209
2023-08-19	31411
2023-08-18	106380
2023-08-17	111519
2023-08-16	19788
2023-08-15	52601
2023-08-14	43036
2023-08-13	20988
2023-08-12	21014
2023-08-11	64044
2023-08-10	112138
2023-08-09	45266
2023-08-08	26699
2023-08-07	25462
2023-08-06	22953
2023-08-05	19194
2023-08-04	44599
2023-08-03	59818
2023-08-02	59321
2023-08-01	41839
2023-07-31	25016
2023-07-30	24901
2023-07-29	42389
2023-07-28	23217
2023-07-27	83883
2023-07-26	23862
2023-07-25	32683
2023-07-24	38943
2023-07-23	23368
2023-07-22	23157
2023-07-21	33018
2023-07-20	26115
2023-07-19	19684
2023-07-18	23430
2023-07-17	36958
2023-07-16	16980
2023-07-15	15763
2023-07-14	23621
2023-07-13	33800
2023-07-12	49304
2023-07-11	27095
2023-07-10	37786
2023-07-09	15683
2023-07-08	14488
2023-07-07	42056
2023-07-06	71241
2023-07-05	44172
2023-07-04	56217
2023-07-03	31309
2023-07-02	20410
2023-07-01	30904
2023-06-30	59554
2023-06-29	39613
2023-06-28	39891
2023-06-27	37673
2023-06-26	45441
2023-06-25	27978
2023-06-24	35181
2023-06-23	57337
2023-06-22	30470
2023-06-21	36386
2023-06-20	37499
2023-06-19	27923
2023-06-18	32052
2023-06-17	57793
2023-06-16	57497
2023-06-15	50207
2023-06-14	53164
2023-06-13	41671
