year	month	unique_senders
2024	3	2949001
2024	2	5908142
2024	1	6112315
2023	12	5637056
2023	11	4738224
2023	10	5196517
2023	9	6323307
2023	8	4905618
2023	7	4998743
2023	6	5938088
2023	5	4816241
2023	4	4931833
2023	3	5459642
2023	2	4618634
2023	1	5094173
2022	12	6705608
2022	11	5628130
2022	10	5563951
2022	9	6515776
2022	8	6743645
2022	7	7100332
2022	6	4394906
2022	5	6041007
2022	4	5372847
2022	3	7229286
2022	2	5279281
2022	1	5402274
2021	12	6554117
2021	11	6459851
2021	10	6000651
2021	9	5190605
2021	8	5438047
2021	7	6360586
2021	6	7042049
2021	5	7975411
2021	4	7690435
2021	3	6397432
2021	2	5815140
2021	1	6285677
2020	12	5728891
2020	11	5768044
2020	10	5327337
2020	9	4218540
2020	8	5078482
2020	7	5064290
2020	6	4713167
2020	5	4034989
2020	4	3702980
2020	3	3720165
2020	2	3027614
2020	1	2458127
2019	12	2448104
2019	11	2797999
2019	10	2936579
2019	9	2777544
2019	8	3305108
2019	7	3423082
2019	6	4122307
2019	5	3772321
2019	4	3225386
2019	3	2639479
2019	2	1842279
2019	1	2502647
2018	12	2614241
2018	11	2508805
2018	10	2721194
2018	9	2606730
2018	8	3206490
2018	7	3211321
2018	6	3994411
2018	5	4339449
2018	4	3325951
2018	3	3479357
2018	2	3841658
2018	1	7272864
2017	12	5063446
2017	11	2294552
2017	10	1631922
2017	9	1629865
2017	8	1561593
2017	7	1140264
2017	6	1204816
2017	5	614681
2017	4	299739
2017	3	301783
2017	2	93937
2017	1	91876
2016	12	92738
2016	11	127377
2016	10	85468
2016	9	86430
2016	8	90444
2016	7	116850
2016	6	82879
2016	5	90634
2016	4	36884
2016	3	49861
2016	2	22217
2016	1	10404
2015	12	5116
2015	11	4207
2015	10	4107
2015	9	4112
2015	8	8121
