date	unique_senders
2024-04-03	893792
2024-04-02	949048
2024-04-01	1036308
2024-03-31	1124527
2024-03-30	1075346
2024-03-29	1127884
2024-03-28	1146004
2024-03-27	1047260
2024-03-26	1085593
2024-03-25	1019798
2024-03-24	969644
2024-03-23	983375
2024-03-22	1071052
2024-03-21	1042440
2024-03-20	970876
2024-03-19	933332
2024-03-18	1019760
2024-03-17	920183
2024-03-16	1213598
2024-03-15	1117013
2024-03-14	1059048
2024-03-13	1159543
2024-03-12	1176674
2024-03-11	1098874
2024-03-10	1086960
2024-03-09	1070546
2024-03-08	1127478
2024-03-07	1154109
2024-03-06	1111815
2024-03-05	1004485
2024-03-04	1120345
2024-03-03	1079166
2024-03-02	1165231
2024-03-01	1143312
2024-02-29	1149313
2024-02-28	1071070
2024-02-27	1041306
2024-02-26	1022954
2024-02-25	1061521
2024-02-24	1010529
2024-02-23	962559
2024-02-22	942263
2024-02-21	861395
2024-02-20	837053
2024-02-19	870270
2024-02-18	821040
2024-02-17	794770
2024-02-16	762919
2024-02-15	784612
2024-02-14	777413
2024-02-13	697920
2024-02-12	647335
2024-02-11	625555
2024-02-10	672676
2024-02-09	671650
2024-02-08	664764
2024-02-07	667226
2024-02-06	673110
2024-02-05	657937
2024-02-04	616411
2024-02-03	614598
2024-02-02	599495
2024-02-01	624050
2024-01-31	633427
2024-01-30	646286
2024-01-29	649420
2024-01-28	627055
2024-01-27	621136
2024-01-26	658202
2024-01-25	615433
2024-01-24	593631
2024-01-23	575982
2024-01-22	561191
2024-01-21	512915
2024-01-20	507760
2024-01-19	492205
2024-01-18	533675
2024-01-17	518250
2024-01-16	529861
2024-01-15	548027
2024-01-14	490960
2024-01-13	540031
2024-01-12	623227
2024-01-11	678098
2024-01-10	626049
2024-01-09	643284
2024-01-08	594474
2024-01-07	571305
2024-01-06	572023
2024-01-05	562235
2024-01-04	560109
2024-01-03	519973
2024-01-02	499014
2024-01-01	480939
2023-12-31	509976
2023-12-30	498937
2023-12-29	484864
2023-12-28	462711
2023-12-27	478119
2023-12-26	459795
2023-12-25	405405
2023-12-24	392732
2023-12-23	427553
2023-12-22	422142
2023-12-21	434292
2023-12-20	435092
2023-12-19	504576
2023-12-18	441860
2023-12-17	411134
2023-12-16	324101
2023-12-15	412073
2023-12-14	414873
2023-12-13	375263
2023-12-12	383136
2023-12-11	368514
2023-12-10	373342
2023-12-09	398310
2023-12-08	334046
2023-12-07	365937
2023-12-06	373473
2023-12-05	355047
2023-12-04	360291
2023-12-03	345555
2023-12-02	370619
2023-12-01	427279
2023-11-30	329431
2023-11-29	350776
2023-11-28	366376
2023-11-27	382539
2023-11-26	344228
2023-11-25	369035
2023-11-24	247202
2023-11-23	343254
2023-11-22	442417
2023-11-21	400330
2023-11-20	357427
2023-11-19	331733
2023-11-18	354047
2023-11-17	367749
2023-11-16	309890
2023-11-15	419291
2023-11-14	354525
2023-11-13	413729
2023-11-12	363631
2023-11-11	371530
2023-11-10	345338
2023-11-09	340530
2023-11-08	360908
2023-11-07	335917
2023-11-06	347086
2023-11-05	325593
2023-11-04	332486
2023-11-03	365961
2023-11-02	359763
2023-11-01	357634
2023-10-31	360624
